Rotation (°), Resistance (), x, f(x), R_T, R_m1, R_m2
0, 1.20700e+00, 0.00, 4.02333e-03, 9.81400e+04, 1.20700e+00, 1.16700e+00
15, 2.33500e+02, 0.05, 7.78333e-01, , , 
30, 9.93700e+02, 0.10, 3.31233e+00, , , 
45, 1.68590e+03, 0.15, 5.61967e+00, , , 
60, 2.39500e+03, 0.20, 7.98333e+00, , , 
75, 5.12900e+03, 0.25, 1.70967e+01, , , 
90, 7.68100e+03, 0.30, 2.56033e+01, , , 
105, 9.78600e+03, 0.35, 3.26200e+01, , , 
120, 1.16670e+04, 0.40, 3.88900e+01, , , 
135, 1.41190e+04, 0.45, 4.70633e+01, , , 
150, 1.65000e+04, 0.50, 5.50000e+01, , , 
165, 1.87980e+04, 0.55, 6.26600e+01, , , 
180, 2.08800e+04, 0.60, 6.96000e+01, , , 
195, 3.38500e+04, 0.65, 1.12833e+02, , , 
210, 4.71800e+04, 0.70, 1.57267e+02, , , 
225, 6.20900e+04, 0.75, 2.06967e+02, , , 
240, 7.83600e+04, 0.80, 2.61200e+02, , , 
255, 9.21900e+04, 0.85, 3.07300e+02, , , 
270, 9.78000e+04, 0.90, 3.26000e+02, , , 
285, 9.82000e+04, 0.95, 3.27333e+02, , , 
300, 9.82000e+04, 1.00, 3.27333e+02, , , 
