Rotation (°), Resistance (), x, f(x), R_T, R_m1, R_m2
0, 1.09500e+00, 0.00, 3.65000e-03, 8.34000e+04, 1.09500e+00, 1.09400e+00
15, 4.94000e+01, 0.05, 1.64667e-01, , , 
30, 4.34600e+02, 0.10, 1.44867e+00, , , 
45, 1.07190e+03, 0.15, 3.57300e+00, , , 
60, 1.73840e+03, 0.20, 5.79467e+00, , , 
75, 2.78200e+03, 0.25, 9.27333e+00, , , 
90, 5.33200e+03, 0.30, 1.77733e+01, , , 
105, 7.13400e+03, 0.35, 2.37800e+01, , , 
120, 9.41800e+03, 0.40, 3.13933e+01, , , 
135, 1.16220e+04, 0.45, 3.87400e+01, , , 
150, 1.35010e+04, 0.50, 4.50033e+01, , , 
165, 1.56040e+04, 0.55, 5.20133e+01, , , 
180, 1.79170e+04, 0.60, 5.97233e+01, , , 
195, 2.34600e+04, 0.65, 7.82000e+01, , , 
210, 3.46700e+04, 0.70, 1.15567e+02, , , 
225, 4.55300e+04, 0.75, 1.51767e+02, , , 
240, 5.63600e+04, 0.80, 1.87867e+02, , , 
255, 6.95600e+04, 0.85, 2.31867e+02, , , 
270, 8.15100e+04, 0.90, 2.71700e+02, , , 
285, 8.33800e+04, 0.95, 2.77933e+02, , , 
300, 8.34100e+04, 1.00, 2.78033e+02, , , 
