Rotation (°), Resistance (), x, f(x), R_T, R_m1, R_m2
0, 1.06900e+00, 0.00, 3.56333e-03, 9.94500e+04, 1.06900e+00, 1.03500e+00
15, 1.53760e+03, 0.05, 5.12533e+00, , , 
30, 9.88800e+03, 0.10, 3.29600e+01, , , 
45, 1.63090e+04, 0.15, 5.43633e+01, , , 
60, 2.19700e+04, 0.20, 7.32333e+01, , , 
75, 2.74900e+04, 0.25, 9.16333e+01, , , 
90, 3.29900e+04, 0.30, 1.09967e+02, , , 
105, 3.80100e+04, 0.35, 1.26700e+02, , , 
120, 4.38200e+04, 0.40, 1.46067e+02, , , 
135, 4.88500e+04, 0.45, 1.62833e+02, , , 
150, 5.40400e+04, 0.50, 1.80133e+02, , , 
165, 5.91800e+04, 0.55, 1.97267e+02, , , 
180, 6.43500e+04, 0.60, 2.14500e+02, , , 
195, 6.98900e+04, 0.65, 2.32967e+02, , , 
210, 7.48100e+04, 0.70, 2.49367e+02, , , 
225, 8.00100e+04, 0.75, 2.66700e+02, , , 
240, 8.49100e+04, 0.80, 2.83033e+02, , , 
255, 9.09600e+04, 0.85, 3.03200e+02, , , 
270, 9.67300e+04, 0.90, 3.22433e+02, , , 
285, 9.92800e+04, 0.95, 3.30933e+02, , , 
300, 9.92900e+04, 1.00, 3.30967e+02, , , 
