Frequency (Hz), H(j), Amplitude Response (dB)
20,0.49349-0.0080495i,-6.1333
21,0.41362-0.28092i,-6.0207
22,0.19348-0.46727i,-5.9213
23,-0.096733-0.50169i,-5.8328
24,-0.36068-0.3685i,-5.753
25,-0.50841-0.10874i,-5.6814
26,-0.48723+0.19216i,-5.6174
27,-0.30113+0.4328i,-5.5596
28,-0.010478+0.53037i,-5.5068
29,0.28743+0.44933i,-5.4589
30,0.49117+0.21476i,-5.4155
31,0.52994-0.095625i,-5.3764
32,0.38851-0.37616i,-5.3397
33,0.11321-0.53094i,-5.306
34,-0.203-0.50556i,-5.2754
35,-0.45216-0.30695i,-5.2481
36,-0.54818-0.0018891i,-5.2215
37,-0.45677+0.30586i,-5.1973
38,-0.20799+0.51034i,-5.1755
39,0.1136+0.54057i,-5.1553
40,0.3978+0.38506i,-5.1354
41,0.54631+0.096228i,-5.1185
42,0.50732-0.22701i,-5.1017
43,0.29324-0.47332i,-5.086
44,-0.022847-0.55725i,-5.0718
45,-0.33216-0.44906i,-5.0587
46,-0.52774-0.18539i,-5.0463
47,-0.54151+0.1432i,-5.0344
48,-0.36797+0.42322i,-5.0236
49,-0.06665+0.55751i,-5.0133
50,0.25854+0.49912i,-5.0037
51,0.49492+0.26765i,-4.9951
52,0.56032-0.057106i,-4.9864
53,0.43153-0.36277i,-4.9782
54,0.15274-0.54314i,-4.9713
55,-0.17952-0.53537i,-4.9642
56,-0.45008-0.34169i,-4.9577
57,-0.56477-0.029056i,-4.9511
58,-0.48337+0.29418i,-4.946
59,-0.2339+0.51567i,-4.9401
60,0.097301+0.55819i,-4.9343
61,0.39505+0.40658i,-4.9299
62,0.55575+0.11337i,-4.9253
63,0.52325-0.21961i,-4.9212
64,0.30864-0.47653i,-4.9169
65,-0.013711-0.56785i,-4.9128
66,-0.33156-0.46146i,-4.9097
67,-0.53421-0.19424i,-4.9066
68,-0.5509+0.14082i,-4.9037
69,-0.37567+0.42712i,-4.9005
70,-0.069317+0.56475i,-4.898
71,0.26132+0.50562i,-4.8953
72,0.50115+0.27011i,-4.893
73,0.56634-0.0597i,-4.8905
74,0.43398-0.36892i,-4.8886
75,0.15023-0.54959i,-4.8862
76,-0.18616-0.53858i,-4.8849
77,-0.45771-0.33964i,-4.8831
78,-0.56962-0.022077i,-4.8817
79,-0.48275+0.30335i,-4.8803
80,-0.22729+0.52293i,-4.8797
82,0.40505+0.40154i,-4.8772
83,0.56107+0.1028i,-4.8763
84,0.52121-0.23196i,-4.875
85,0.29921-0.48575i,-4.8747
86,-0.027371-0.56988i,-4.8743
87,-0.34439-0.45494i,-4.8735
88,-0.54116-0.18094i,-4.8732
90,-0.36469+0.43897i,-4.872
91,-0.053004+0.56819i,-4.8724
92,0.27723+0.49883i,-4.872
93,0.51051+0.25508i,-4.872
95,0.42248-0.38363i,-4.8723
96,0.13188-0.55518i,-4.873
97,-0.20484-0.53263i,-4.8725
99,-0.5706-0.0016146i,-4.8733
100,-0.47169+0.32105i,-4.8737
101,-0.20781+0.53135i,-4.8742
103,0.42028+0.38576i,-4.8752
104,0.56468+0.080783i,-4.876
105,0.51151-0.25246i,-4.8761
107,-0.050601-0.56808i,-4.8775
108,-0.36271-0.44001i,-4.8789
110,-0.54126+0.17928i,-4.8797
111,-0.34516+0.45375i,-4.8809
113,0.29847+0.48565i,-4.8821
114,0.52069+0.2319i,-4.8826
116,0.40413-0.40176i,-4.8847
118,-0.22875-0.52177i,-4.8869
119,-0.4836-0.30107i,-4.8877
121,-0.45522+0.34225i,-4.8898
122,-0.18199+0.5396i,-4.8907
124,0.43751+0.36432i,-4.8925
126,0.49749-0.27658i,-4.8947
127,0.25394-0.5093i,-4.8963
129,-0.38332-0.42044i,-4.8985
131,-0.53025+0.20586i,-4.9007
133,0.00084277+0.5687i,-4.9023
135,0.53059+0.2042i,-4.905
136,0.553-0.13163i,-4.9062
138,0.07652-0.56313i,-4.9084
140,-0.49749-0.27423i,-4.912
142,-0.43498+0.36521i,-4.9136
144,0.18386+0.53717i,-4.9166
146,0.56714+0.022034i,-4.9196
148,0.22477-0.52097i,-4.9224
150,-0.4049-0.39721i,-4.9252
152,-0.51619+0.2346i,-4.9283
154,0.032975+0.56581i,-4.9319
156,0.53951+0.17294i,-4.9353
158,0.35542-0.44088i,-4.939
160,-0.28321-0.49008i,-4.9432
163,-0.41118+0.38842i,-4.9494
165,0.21427+0.52319i,-4.9534
167,0.56499-0.011594i,-4.9573
169,0.19245-0.53101i,-4.9619
172,-0.56063-0.06456i,-4.9692
174,-0.26187+0.49954i,-4.9742
176,0.37161+0.42388i,-4.9789
179,0.32628-0.45909i,-4.9864
181,-0.31075-0.46937i,-4.9911
184,-0.38453+0.41041i,-4.9991
186,0.24441+0.5062i,-5.0035
189,0.43568-0.3545i,-5.0102
191,-0.17391-0.53373i,-5.0153
194,-0.47866+0.2924i,-5.0222
196,0.10053+0.55148i,-5.0274
199,0.51293-0.22523i,-5.0331
202,-0.33749-0.44652i,-5.0406
205,-0.35597+0.43132i,-5.0479
207,0.27429+0.487i,-5.0528
210,0.40989-0.37923i,-5.0609
213,-0.46342-0.31068i,-5.0685
216,-0.19468+0.5223i,-5.0766
219,0.5526+0.06836i,-5.0859
222,-0.061452-0.55281i,-5.0951
225,-0.523+0.18761i,-5.1043
228,0.30332+0.46481i,-5.1138
231,0.38151-0.40227i,-5.1234
234,-0.47922-0.27765i,-5.1323
237,-0.15896+0.52994i,-5.1414
241,0.4728-0.28593i,-5.1528
244,-0.38728-0.39329i,-5.1618
247,-0.29252+0.4675i,-5.1695
251,0.52978-0.15033i,-5.1817
254,-0.26878-0.47995i,-5.1914
257,-0.40404+0.37237i,-5.2012
261,0.54859-0.0052552i,-5.2147
264,-0.13219-0.53176i,-5.2253
268,-0.25819+0.48232i,-5.239
272,0.51414-0.18429i,-5.2535
275,-0.29814-0.45683i,-5.264
279,-0.085095+0.538i,-5.2771
283,0.42324-0.3415i,-5.2906
287,-0.54219-0.030405i,-5.3034
291,0.38127+0.38546i,-5.3174
295,-0.024464-0.54075i,-5.3312
299,-0.34378+0.41689i,-5.3464
303,0.53356-0.07865i,-5.363
307,-0.44784-0.29883i,-5.3781
311,0.13167+0.52109i,-5.393
315,0.25121-0.47414i,-5.4074
320,-0.31121+0.43578i,-5.4249
324,0.52216-0.11461i,-5.4395
328,-0.46351-0.26444i,-5.455
333,0.42345+0.3227i,-5.4754
337,-0.097719-0.5223i,-5.4922
342,0.027609+0.52943i,-5.5121
347,0.042618-0.52722i,-5.5319
351,-0.38431+0.36211i,-5.5468
356,0.42778-0.30747i,-5.5669
361,-0.46353+0.24763i,-5.588
366,0.49095-0.18371i,-5.6101
371,-0.50973+0.11688i,-5.6307
376,0.5195-0.048414i,-5.6507
381,-0.52013-0.020523i,-5.671
386,0.51163+0.088713i,-5.6922
391,-0.49416-0.15505i,-5.7148
397,0.50931-0.08497i,-5.7411
402,-0.51485+0.01697i,-5.7617
408,0.45007-0.24749i,-5.7869
413,-0.47749+0.18561i,-5.8095
419,0.34072-0.38039i,-5.8371
424,-0.38695+0.33133i,-5.8585
430,0.19439-0.46924i,-5.8842
436,0.039061+0.5048i,-5.9117
442,-0.26256-0.43099i,-5.9398
448,0.42789+0.2646i,-5.967
454,-0.49982-0.041909i,-5.9933
460,0.46307-0.18848i,-6.0214
467,-0.055827+0.49491i,-6.0545
473,-0.17391-0.4651i,-6.0808
479,0.36463+0.33467i,-6.1091
486,-0.46647+0.15956i,-6.143
493,0.082596-0.48423i,-6.1744
499,0.14544+0.46754i,-6.2025
506,-0.47828-0.095369i,-6.2371
513,0.31126-0.37313i,-6.269
520,0.17845+0.44997i,-6.302
527,-0.47863-0.058076i,-6.3365
534,0.27869-0.39126i,-6.3685
541,0.20982+0.42996i,-6.4037
549,-0.40412+0.25218i,-6.4415
556,-0.02851-0.47366i,-6.475
564,0.46598-0.077187i,-6.5152
571,-0.15415+0.44463i,-6.547
579,-0.4562-0.10647i,-6.5866
587,0.058154-0.46279i,-6.6242
595,0.46416+0.0094524i,-6.6648
603,0.038823+0.46057i,-6.7033
611,-0.45196+0.086347i,-6.7424
620,-0.35731-0.28621i,-6.7863
628,0.24614-0.38353i,-6.8261
637,0.44927-0.06161i,-6.8689
645,0.10784+0.4383i,-6.9092
654,-0.26187+0.36491i,-6.9522
663,-0.44523+0.037823i,-6.9972
672,-0.31647-0.31228i,-7.0406
681,0.031611-0.44117i,-7.0856
691,0.14363-0.41568i,-7.135
700,0.40728-0.16022i,-7.1772
709,0.38448+0.20435i,-7.222
719,0.31698+0.29493i,-7.2709
729,0.22896+0.36468i,-7.3185
739,0.12643+0.40906i,-7.3679
749,0.016628+0.42539i,-7.4177
759,-0.09304+0.41304i,-7.4652
769,-0.19522+0.37308i,-7.513
780,-0.058528+0.41437i,-7.5665
790,-0.16236+0.38315i,-7.6153
801,-0.024286+0.4129i,-7.668
812,0.11493+0.39474i,-7.7204
823,0.23926+0.33128i,-7.773
834,0.33453+0.23037i,-7.8256
846,0.38022-0.13514i,-7.8827
857,0.3109-0.25343i,-7.9348
869,-0.023081-0.39784i,-7.9913
881,-0.33379-0.21296i,-8.0474
893,-0.3657+0.14481i,-8.1048
905,-0.096218+0.37882i,-8.1598
917,0.24914+0.29793i,-8.2151
930,0.3015-0.24049i,-8.2757
942,-0.01827-0.38279i,-8.3308
955,-0.38052+0.0094261i,-8.3897
968,0.00070831+0.37803i,-8.4494
981,0.37536+0.0078787i,-8.5091
995,-0.19755-0.3161i,-8.5714
1008,-0.31834+0.1891i,-8.6298
1022,0.33015+0.16156i,-8.6934
1036,-0.045497-0.36215i,-8.7543
1050,-0.276+0.23479i,-8.8173
1064,0.34523+0.10144i,-8.8782
1079,-0.27902-0.22287i,-8.9441
1093,-0.033176+0.35307i,-9.0046
1108,0.16308-0.31191i,-9.0698
1123,-0.26693+0.22541i,-9.1343
1139,0.21118-0.2749i,-9.2022
1154,-0.2972+0.17341i,-9.2665
1170,0.25149-0.23096i,-9.3334
1186,-0.19491+0.27714i,-9.4007
1202,0.13031-0.30993i,-9.4677
1218,-0.060655+0.32811i,-9.5338
1235,-0.19626-0.26651i,-9.6041
1252,0.32608+0.038759i,-9.6727
1269,-0.24927+0.20976i,-9.7414
1286,0.017208-0.3228i,-9.8091
1304,0.31395+0.064792i,-9.8816
1321,-0.25987+0.18338i,-9.9499
1339,-0.14131-0.28211i,-10.019
1357,0.29759-0.096796i,-10.091
1376,0.21536+0.2234i,-10.164
1395,-0.10583+0.28893i,-10.237
1414,-0.30354+0.030999i,-10.311
1433,-0.15938-0.25725i,-10.382
1452,0.16023-0.25377i,-10.454
1472,0.26222-0.14065i,-10.529
1492,0.29496+0.0067039i,-10.602
1513,0.29181-0.01894i,-10.68
1533,0.26106+0.12618i,-10.753
1554,0.26875+0.10194i,-10.829
1575,0.27427+0.077294i,-10.905
1597,0.25831-0.11404i,-10.984
1618,0.2452-0.13515i,-11.058
1640,0.10203-0.25806i,-11.135
1663,-0.21823-0.16725i,-11.215
1685,-0.27237+0.010027i,-11.291
1708,-0.064342+0.26231i,-11.37
1731,0.23258+0.13249i,-11.448
1755,0.050689-0.2603i,-11.529
1779,-0.26042+0.034889i,-11.609
1803,0.1153+0.23339i,-11.69
1828,0.047085-0.25354i,-11.772
1853,-0.18783+0.17314i,-11.854
1878,0.25174-0.02589i,-11.935
1903,-0.21508-0.1289i,-12.015
1929,0.20786+0.136i,-12.097
1955,-0.20045-0.1427i,-12.179
1982,0.24327+0.013514i,-12.265
2009,-0.21085+0.11734i,-12.349
2036,0.11449-0.20982i,-12.431
2064,0.14633+0.18598i,-12.518
2092,-0.22637+0.060728i,-12.602
2121,-0.10306-0.20787i,-12.69
2150,0.18169-0.14061i,-12.775
2179,0.17192+0.14895i,-12.862
2208,-0.11101+0.19601i,-12.946
2238,-0.21398+0.062869i,-13.033
2269,-0.21917+0.026171i,-13.123
2300,-0.21826-0.010453i,-13.211
2331,-0.21136-0.046041i,-13.298
2363,-0.20887+0.047039i,-13.388
2395,-0.16774+0.12955i,-13.476
2428,0.026298+0.20807i,-13.567
2461,0.19068+0.081981i,-13.657
2494,0.16564-0.12153i,-13.746
2528,-0.13161-0.15495i,-13.837
2562,-0.14368+0.14081i,-13.928
2597,0.19757+0.024152i,-14.021
2633,-0.18013-0.079554i,-14.114
2669,0.14779+0.12696i,-14.207
2705,-0.10351-0.1626i,-14.3
2742,0.14646+0.12212i,-14.393
2779,-0.17476-0.071044i,-14.487
2817,0.16141-0.093652i,-14.581
2855,-0.024528+0.18301i,-14.673
2894,-0.17934-0.034429i,-14.769
2933,0.043952-0.1752i,-14.864
2973,0.17061-0.052967i,-14.96
3014,0.17537+0.021229i,-15.058
3055,0.14972+0.090075i,-15.153
3096,0.098702+0.14185i,-15.248
3139,0.16813+0.030311i,-15.348
3181,0.16897-0.00055377i,-15.444
3225,0.029939-0.16436i,-15.542
3268,-0.093871-0.13592i,-15.641
3313,-0.084944+0.1395i,-15.739
3358,0.16017+0.020573i,-15.838
3404,-0.1245-0.099908i,-15.938
3450,0.053525+0.14847i,-16.036
3497,-0.06082-0.14368i,-16.136
3545,0.13436+0.075712i,-16.237
3593,-0.15087+0.021906i,-16.337
3642,0.024992-0.14859i,-16.439
3691,0.13234+0.068426i,-16.537
3741,-0.027099+0.14472i,-16.64
3792,-0.11035+0.094846i,-16.742
3844,-0.11559+0.085537i,-16.845
3896,-0.12008+0.075987i,-16.948
3949,-0.06445+0.12478i,-17.05
4003,0.084672+0.11001i,-17.151
4058,0.093454-0.10033i,-17.258
4113,-0.11299-0.074843i,-17.359
4169,0.024317+0.1317i,-17.463
4226,0.0023345-0.13229i,-17.568
4283,-0.028259+0.12767i,-17.671
4341,-0.023772-0.127i,-17.774
4400,0.11852+0.047361i,-17.881
4460,-0.042365+0.11879i,-17.984
4521,-0.11909+0.036537i,-18.092
4583,-0.123-0.0036715i,-18.198
4645,-0.1139-0.042521i,-18.303
4708,-0.11969-0.0098179i,-18.409
4772,-0.082997+0.084796i,-18.514
4837,0.076067+0.08913i,-18.623
4903,0.039814-0.10866i,-18.731
4970,-0.082497+0.079163i,-18.836
5037,0.10756-0.034472i,-18.943
5106,-0.054458+0.097354i,-19.051
5175,-0.02629-0.10698i,-19.159
5246,0.088131-0.063823i,-19.266
5317,0.091163+0.056898i,-19.375
5390,0.091168+0.054333i,-19.483
5463,0.091112+0.051788i,-19.593
5537,0.10292-0.011036i,-19.7
5613,-0.036501-0.095446i,-19.812
5689,-0.081931+0.058964i,-19.918
5767,0.086622-0.049263i,-20.03
5845,-0.090231+0.03925i,-20.14
5925,0.0059429-0.096984i,-20.25
6005,0.08265+0.048768i,-20.358
6087,0.018906+0.09283i,-20.47
6170,-0.0030908+0.093503i,-20.579
6254,0.030437+0.087218i,-20.689
6339,0.088041+0.023734i,-20.802
6425,0.023114-0.087026i,-20.911
6513,-0.051706+0.072298i,-21.023
6601,0.073004-0.048705i,-21.134
6691,-0.011914+0.085812i,-21.246
6782,-0.082614-0.022156i,-21.357
6874,-0.018228-0.082467i,-21.467
6968,-0.027136-0.078823i,-21.581
7063,-0.071343-0.041066i,-21.69
7159,-0.056775+0.058156i,-21.801
7256,0.073178+0.032811i,-21.917
7355,-0.071808-0.033355i,-22.028
7455,0.077244-0.01203i,-22.139
7557,0.028559+0.071694i,-22.251
