Frequency (Hz), H(j), Amplitude Response (dB)
20,0.17071-0.0030933i,-15.353
21,0.14281-0.097455i,-15.244
22,0.066446-0.16171i,-15.148
23,-0.03397-0.17327i,-15.062
24,-0.12504-0.12687i,-14.985
25,-0.1757-0.036903i,-14.917
26,-0.16795+0.067029i,-14.854
27,-0.10328+0.14985i,-14.799
28,-0.0027125+0.18304i,-14.748
29,0.099983+0.1545i,-14.702
30,0.16984+0.073109i,-14.661
31,0.18255-0.03404i,-14.624
32,0.13312-0.13054i,-14.589
33,0.037779-0.18328i,-14.557
34,-0.071216-0.17372i,-14.528
35,-0.15661-0.10458i,-14.502
36,-0.18885+0.00083366i,-14.477
37,-0.15646+0.10664i,-14.455
38,-0.070107+0.17637i,-14.434
39,0.04079+0.18578i,-14.416
40,0.13816+0.13126i,-14.399
41,0.18836+0.031305i,-14.382
42,0.17381-0.079874i,-14.366
43,0.099205-0.1639i,-14.353
44,-0.0099254-0.19158i,-14.341
45,-0.11595-0.15317i,-14.329
46,-0.18221-0.061667i,-14.317
47,-0.1856+0.051457i,-14.307
48,-0.12471+0.14704i,-14.298
49,-0.020477+0.19191i,-14.289
50,0.091016+0.17022i,-14.288
51,0.17128+0.089672i,-14.274
52,0.19222-0.022247i,-14.266
53,0.14645-0.12668i,-14.26
54,0.049783-0.18728i,-14.254
55,-0.06434-0.18291i,-14.249
56,-0.15629-0.11495i,-14.244
57,-0.19398-0.0069633i,-14.239
58,-0.16427+0.10359i,-14.235
59,-0.07738+0.17822i,-14.231
60,0.036524+0.19093i,-14.227
61,0.13784+0.13716i,-14.224
62,0.19123+0.035592i,-14.221
63,0.17807-0.07846i,-14.218
64,0.10286-0.16523i,-14.216
65,-0.0082502-0.19452i,-14.213
66,-0.11655-0.156i,-14.211
67,-0.18426-0.063069i,-14.21
68,-0.18775+0.051902i,-14.208
69,-0.12575+0.14879i,-14.208
70,-0.019861+0.19383i,-14.206
71,0.092998+0.17125i,-14.205
72,0.17343+0.088879i,-14.205
73,0.19334-0.024545i,-14.204
74,0.14575-0.1294i,-14.204
75,0.047249-0.18909i,-14.204
76,-0.06777-0.18275i,-14.203
77,-0.1591-0.11256i,-14.204
78,-0.19488-0.00305i,-14.204
79,-0.16254+0.10754i,-14.204
80,-0.073393+0.18053i,-14.205
82,0.1417+0.13374i,-14.206
83,0.19245+0.030329i,-14.207
84,0.17592-0.083691i,-14.208
85,0.097874-0.16841i,-14.209
86,-0.014417-0.19421i,-14.211
87,-0.12161-0.15208i,-14.212
88,-0.18624-0.056746i,-14.213
90,-0.12018+0.1531i,-14.216
91,-0.012615+0.19417i,-14.218
92,0.09931+0.1673i,-14.219
93,0.17643+0.08185i,-14.222
95,0.13997-0.13492i,-14.226
96,0.039195-0.19036i,-14.228
97,-0.075266-0.17914i,-14.23
99,-0.19412+0.0055546i,-14.235
100,-0.15694+0.11429i,-14.238
101,-0.064824+0.18296i,-14.239
103,0.14718+0.12636i,-14.245
104,0.19278+0.020994i,-14.248
105,0.17082-0.091668i,-14.25
107,-0.023917-0.19225i,-14.256
108,-0.1284-0.14498i,-14.259
110,-0.18138+0.067483i,-14.265
111,-0.11138+0.15818i,-14.268
113,0.10736+0.16078i,-14.274
114,0.17941+0.071831i,-14.277
116,0.13151-0.1414i,-14.284
118,-0.084496-0.17348i,-14.291
119,-0.16774-0.095206i,-14.294
121,-0.14909+0.12212i,-14.301
122,-0.053841+0.18498i,-14.304
124,0.15308+0.11669i,-14.312
126,0.16381-0.10078i,-14.319
127,0.078012-0.17569i,-14.323
129,-0.13575-0.13588i,-14.331
131,-0.17547+0.077726i,-14.338
133,0.0094149+0.19149i,-14.347
135,0.1819+0.059988i,-14.355
136,0.18384-0.053441i,-14.359
138,0.016194-0.19058i,-14.367
140,-0.17186-0.083518i,-14.376
142,-0.13956+0.13023i,-14.384
144,0.071305+0.17686i,-14.393
146,0.19048-0.0030064i,-14.402
148,0.065543-0.17865i,-14.411
150,-0.14303-0.12522i,-14.42
152,-0.16805+0.088434i,-14.43
154,0.022172+0.1884i,-14.439
156,0.18359+0.046911i,-14.448
158,0.10957-0.15433i,-14.458
160,-0.10458-0.15748i,-14.469
163,-0.12862+0.13812i,-14.483
165,0.082647+0.16942i,-14.494
167,0.18756-0.016343i,-14.504
169,0.052004-0.18071i,-14.515
172,-0.18752-0.0084747i,-14.53
174,-0.075096+0.17178i,-14.541
176,0.13324+0.13156i,-14.552
179,0.096713-0.15991i,-14.569
181,-0.11446-0.14744i,-14.579
184,-0.11649+0.14538i,-14.596
186,0.093817+0.16066i,-14.607
189,0.13411-0.12846i,-14.623
191,-0.071751-0.17102i,-14.635
194,-0.14925+0.10947i,-14.652
196,0.048639+0.17834i,-14.663
199,0.16176-0.088762i,-14.68
202,-0.12382-0.13627i,-14.698
205,-0.10337+0.15193i,-14.715
207,0.10465+0.15074i,-14.727
210,0.12184-0.13672i,-14.745
213,-0.16109-0.086311i,-14.762
216,-0.046155+0.17643i,-14.781
219,0.18195+0.0035939i,-14.799
222,-0.039005-0.17737i,-14.817
225,-0.16298+0.079255i,-14.836
228,0.11496+0.1396i,-14.854
231,0.10857-0.14414i,-14.873
234,-0.1652-0.07164i,-14.891
237,-0.03088+0.17701i,-14.91
241,0.14086-0.11076i,-14.934
244,-0.14038-0.11075i,-14.952
247,-0.074576+0.16211i,-14.97
251,0.16331-0.070617i,-14.996
254,-0.10674-0.14188i,-15.014
257,-0.11263+0.13676i,-15.032
261,0.17465-0.026515i,-15.058
264,-0.066635-0.1632i,-15.076
268,-0.059179+0.16552i,-15.1
272,0.15413-0.083478i,-15.125
