Frequency (Hz), H(j), Amplitude Response (dB)
20,0.48171+0.091543i,-6.1903
21,0.46094-0.18523i,-6.077
22,0.29083-0.40973i,-5.9781
23,0.022615-0.50717i,-5.8882
24,-0.25877-0.4422i,-5.8088
25,-0.4615-0.23224i,-5.7362
26,-0.51731+0.057104i,-5.6724
27,-0.40512+0.33223i,-5.6145
28,-0.15883+0.50266i,-5.5613
29,0.14269+0.51051i,-5.5133
30,0.40088+0.35087i,-5.4697
31,0.53007+0.073883i,-5.4298
32,0.48581-0.22984i,-5.3934
33,0.28093-0.46058i,-5.3603
34,-0.018408-0.54113i,-5.329
35,-0.3139-0.44323i,-5.3019
36,-0.50757-0.19792i,-5.2754
37,-0.53417+0.11461i,-5.2509
38,-0.38364+0.39095i,-5.2285
39,-0.10478+0.5389i,-5.2087
40,0.21032+0.50844i,-5.1892
41,0.45687+0.3086i,-5.1718
42,0.55237+0.0051074i,-5.1549
43,0.46411-0.3014i,-5.1394
44,0.22071-0.50846i,-5.1252
45,-0.097292-0.54657i,-5.1116
46,-0.3838-0.40222i,-5.0992
47,-0.54299-0.12297i,-5.0869
48,-0.52094+0.19828i,-5.0767
49,-0.32457+0.45397i,-5.0664
50,-0.020677+0.55785i,-5.0638
51,0.29368+0.47596i,-5.0476
52,0.50864+0.23381i,-5.0393
53,0.55353-0.087214i,-5.0307
54,0.41276-0.37966i,-5.0235
55,0.13326-0.54518i,-5.0171
56,-0.19151-0.52805i,-5.0099
57,-0.45248-0.3335i,-5.0037
58,-0.56183-0.026613i,-4.9982
59,-0.48255+0.28971i,-4.9923
60,-0.24091+0.50906i,-4.9869
61,0.08211+0.55747i,-4.9824
62,0.37787+0.41843i,-4.9775
63,0.54681+0.13842i,-4.9735
64,0.53194-0.18847i,-4.9691
65,0.33795-0.45226i,-4.9655
66,0.029928-0.56403i,-4.9617
67,-0.28844-0.48587i,-4.9585
68,-0.50986-0.24396i,-4.9556
69,-0.55969+0.080361i,-4.9524
70,-0.42086+0.37781i,-4.9503
71,-0.14013+0.54814i,-4.9472
72,0.18812+0.53374i,-4.9449
73,0.4531+0.33934i,-4.9424
74,0.56541+0.030319i,-4.9402
75,0.48702-0.28904i,-4.9386
76,0.24424-0.51109i,-4.9368
77,-0.081062-0.56076i,-4.9346
78,-0.37915-0.42114i,-4.9333
79,-0.54936-0.1393i,-4.9323
80,-0.53416+0.18967i,-4.9308
82,-0.02854+0.56625i,-4.9289
83,0.29114+0.48656i,-4.9282
84,0.51264+0.24248i,-4.9268
85,0.56094-0.083544i,-4.9263
86,0.41973-0.38146i,-4.9258
87,0.13672-0.55049i,-4.925
88,-0.19262-0.53351i,-4.925
90,-0.56674-0.025268i,-4.9237
91,-0.48501+0.29429i,-4.9235
92,-0.23929+0.5144i,-4.9233
