Frequency (Hz), H(j), Amplitude Response (dB)
20,0.17368-0.023112i,-15.129
21,0.13354-0.11682i,-15.02
22,0.046869-0.17322i,-14.921
23,-0.057842-0.17175i,-14.835
24,-0.14495-0.11146i,-14.758
25,-0.18395-0.011807i,-14.688
26,-0.16031+0.093597i,-14.627
27,-0.081097+0.16833i,-14.57
28,0.027224+0.18598i,-14.519
29,0.12745+0.1395i,-14.473
30,0.18466+0.04417i,-14.431
31,0.17835-0.067524i,-14.393
32,0.11001-0.15675i,-14.357
33,0.0027659-0.19215i,-14.326
34,-0.10627-0.16091i,-14.296
35,-0.17898-0.073241i,-14.271
36,-0.18968+0.040552i,-14.246
37,-0.13407+0.14089i,-14.222
38,-0.031187+0.19244i,-14.202
39,0.083159+0.17679i,-14.183
40,0.16893+0.099i,-14.164
41,0.19565-0.013759i,-14.149
42,0.15382-0.12224i,-14.134
43,0.05774-0.18814i,-14.119
44,-0.058991-0.18807i,-14.106
45,-0.15532-0.12178i,-14.094
46,-0.19726-0.012359i,-14.082
47,-0.16971+0.10169i,-14.073
48,-0.082263+0.18018i,-14.063
49,0.034449+0.19527i,-14.054
50,0.13898+0.1414i,-14.055
51,0.19507+0.037513i,-14.039
52,0.18204-0.079869i,-14.032
53,0.10464-0.16924i,-14.024
54,-0.0099156-0.19885i,-14.019
55,-0.12115-0.15815i,-14.013
56,-0.18963-0.06139i,-14.009
57,-0.19107+0.057218i,-14.003
58,-0.12479+0.15571i,-13.999
59,-0.01422+0.19914i,-13.995
60,0.10151+0.17198i,-13.992
61,0.18137+0.083843i,-13.987
62,0.19695-0.034141i,-13.984
63,0.14266-0.1401i,-13.982
64,0.037705-0.19643i,-13.979
65,-0.080719-0.18306i,-13.977
66,-0.17053-0.10467i,-13.976
67,-0.19983+0.010926i,-13.974
68,-0.15816+0.12271i,-13.972
69,-0.06027+0.1909i,-13.971
70,0.059091+0.19129i,-13.97
71,0.15747+0.12371i,-13.969
72,0.1999+0.01208i,-13.968
73,0.17126-0.10385i,-13.967
74,0.081688-0.18286i,-13.967
75,-0.036939-0.19686i,-13.967
76,-0.14244-0.1408i,-13.967
77,-0.19727-0.034636i,-13.967
78,-0.18189+0.083841i,-13.967
79,-0.10176+0.17251i,-13.967
80,0.014597+0.19972i,-13.968
82,0.19208+0.056489i,-13.97
83,0.19004-0.06298i,-13.971
84,0.12031-0.16001i,-13.971
85,0.0077362-0.20002i,-13.972
86,-0.10758-0.16873i,-13.975
87,-0.18451-0.077394i,-13.976
88,-0.19569+0.041548i,-13.977
90,-0.029692+0.19775i,-13.981
91,0.088263+0.17938i,-13.983
92,0.17474+0.097079i,-13.984
93,0.19887-0.019793i,-13.986
95,0.051102-0.19309i,-13.991
96,-0.068062-0.18775i,-13.992
97,-0.1629-0.11544i,-13.994
99,-0.16506+0.11212i,-13.999
100,-0.071681+0.18615i,-14.002
101,0.047204+0.19376i,-14.004
103,0.19791+0.023566i,-14.009
104,0.17596-0.093438i,-14.013
105,0.091248-0.17705i,-14.015
107,-0.13385-0.14731i,-14.021
108,-0.19388-0.044664i,-14.025
110,-0.10958+0.16591i,-14.03
111,0.0046076+0.19871i,-14.033
113,0.18765+0.065095i,-14.039
