Frequency (Hz), H(j), Amplitude Response (dB)
20,0.44949-0.04005i,-6.9113
21,0.35714-0.28498i,-6.8036
22,0.14144-0.43976i,-6.7082
23,-0.1273-0.4488i,-6.6229
24,-0.35825-0.30521i,-6.5464
25,-0.47116-0.054791i,-6.4782
26,-0.42476+0.2185i,-6.4176
27,-0.23214+0.42096i,-6.362
28,0.042807+0.48162i,-6.3117
29,0.30637+0.37737i,-6.2659
30,0.46731+0.14193i,-6.2247
31,0.46855-0.14507i,-6.1873
32,0.30787-0.38438i,-6.1524
33,0.039229-0.49271i,-6.1206
34,-0.24512-0.43113i,-6.0914
35,-0.44638-0.21944i,-6.0659
36,-0.49393+0.06983i,-6.0408
37,-0.36992+0.33663i,-6.0178
38,-0.1164+0.48765i,-5.9971
39,0.17899+0.46949i,-5.9781
40,0.41342+0.28745i,-5.9595
41,0.50446+0.0042761i,-5.9431
42,0.41967-0.28161i,-5.9273
43,0.18775-0.4701i,-5.9134
44,-0.11064-0.49479i,-5.8997
45,-0.37131-0.34629i,-5.8874
46,-0.50272-0.07604i,-5.8752
47,-0.45829+0.22172i,-5.8639
48,-0.25289+0.4425i,-5.8543
49,0.04167+0.50852i,-5.8448
50,0.32111+0.39489i,-5.8661
51,0.49047+0.14436i,-5.827
52,0.48649-0.15872i,-5.8192
53,0.31141-0.40661i,-5.8119
54,0.026516-0.51185i,-5.8054
55,-0.26824-0.4372i,-5.7988
56,-0.46905-0.20847i,-5.7928
57,-0.50497+0.094017i,-5.7867
58,-0.36302+0.3638i,-5.7817
59,-0.092962+0.50578i,-5.7765
60,0.21023+0.46963i,-5.7717
61,0.43964+0.26779i,-5.7676
62,0.51425-0.028688i,-5.763
63,0.40747-0.31538i,-5.7594
64,0.15682-0.49105i,-5.7556
65,-0.14943-0.49358i,-5.752
66,-0.4032-0.32179i,-5.7493
67,-0.51477-0.036216i,-5.7464
68,-0.44459+0.26234i,-5.7433
69,-0.21726+0.46843i,-5.7409
70,0.086973+0.50909i,-5.7392
71,0.36063+0.36992i,-5.7366
72,0.50701+0.099829i,-5.7345
73,0.47418-0.20568i,-5.7324
74,0.2736-0.43861i,-5.731
75,-0.023759-0.51651i,-5.7292
76,-0.31292-0.41174i,-5.7275
77,-0.49146-0.16125i,-5.7262
78,-0.49617+0.14639i,-5.725
79,-0.32528+0.40233i,-5.7239
80,-0.039178+0.51591i,-5.7235
82,0.46859+0.21964i,-5.7216
83,0.51046-0.085402i,-5.7209
84,0.37158-0.36033i,-5.7201
85,0.10105-0.50763i,-5.7203
86,-0.20532-0.47515i,-5.7199
87,-0.43894-0.27438i,-5.7194
88,-0.5171+0.023633i,-5.7194
90,-0.16102+0.492i,-5.7187
91,0.14714+0.49629i,-5.7194
92,0.40312+0.32471i,-5.7195
93,0.51621+0.038063i,-5.7199
95,0.21823-0.46931i,-5.7206
96,-0.087227-0.51015i,-5.7208
97,-0.36173-0.37011i,-5.7213
99,-0.47406+0.20747i,-5.7223
100,-0.272+0.44017i,-5.723
101,0.026433+0.51671i,-5.7238
103,0.49261+0.15792i,-5.7251
104,0.49497-0.15016i,-5.7261
105,0.32173-0.40494i,-5.727
107,-0.26508-0.44393i,-5.7294
108,-0.47045-0.21443i,-5.73
110,-0.3667+0.36431i,-5.7318
111,-0.094439+0.50814i,-5.7328
113,0.44194+0.26773i,-5.7351
114,0.51573-0.031117i,-5.7358
116,0.15291-0.49335i,-5.7385
118,-0.40752-0.3171i,-5.741
119,-0.51543-0.029034i,-5.7428
121,-0.20904+0.47188i,-5.7451
122,0.096486+0.50695i,-5.7462
124,0.50824+0.088556i,-5.7487
126,0.26205-0.44417i,-5.7519
127,-0.037152-0.51428i,-5.7534
129,-0.49418-0.14659i,-5.7561
131,-0.3114+0.41061i,-5.7582
133,0.27436+0.43602i,-5.7612
135,0.50457-0.10297i,-5.7644
136,0.35626-0.3717i,-5.7662
138,-0.2222-0.46428i,-5.7686
140,-0.51257+0.044282i,-5.7726
142,-0.13914+0.49513i,-5.7755
144,0.41418+0.30457i,-5.7789
146,0.43082-0.28019i,-5.7821
148,-0.11043-0.50169i,-5.7859
150,-0.50818-0.073304i,-5.7902
152,-0.24754+0.44964i,-5.793
154,0.33349+0.38983i,-5.7974
156,0.48207-0.17476i,-5.8015
158,0.0061806-0.51248i,-5.8059
160,-0.47722-0.1861i,-5.8108
163,-0.064367+0.50773i,-5.818
165,0.45234+0.23888i,-5.8224
167,0.38259-0.33914i,-5.8271
169,-0.18262-0.4772i,-5.8325
172,-0.418+0.29299i,-5.8409
174,0.12702+0.49407i,-5.8463
176,0.50683+0.054994i,-5.8519
179,-0.069982-0.50449i,-5.8602
181,-0.49653-0.11196i,-5.8658
184,0.012296+0.50831i,-5.8749
186,0.47982+0.16729i,-5.8802
189,0.045393-0.50564i,-5.8883
191,-0.45705-0.22024i,-5.8939
194,-0.10216+0.49648i,-5.9019
196,0.42849+0.27012i,-5.9079
199,0.15743-0.48101i,-5.915
202,-0.50436-0.035389i,-5.9238
205,0.088595+0.4973i,-5.9319
207,0.49635+0.091892i,-5.9379
210,-0.0319-0.50324i,-5.9471
213,-0.47976+0.15353i,-5.9561
216,0.26569+0.42733i,-5.9653
219,0.34917-0.36148i,-5.9758
222,-0.43525-0.25009i,-5.9862
225,-0.13619+0.48252i,-5.9969
228,0.50057+0.014291i,-6.0073
231,-0.10813-0.48831i,-6.0182
234,-0.44662+0.22376i,-6.0285
237,0.3256+0.37805i,-6.0391
241,0.0037271-0.49817i,-6.0523
244,-0.48343+0.11785i,-6.0625
247,0.23209+0.43954i,-6.072
251,0.11426-0.48292i,-6.0859
254,-0.49558+0.0071544i,-6.0968
257,0.12789+0.47819i,-6.1079
261,0.21788-0.44347i,-6.1237
264,-0.4826-0.10281i,-6.1354
268,0.29529+0.39423i,-6.151
272,0.036976-0.49023i,-6.1673
275,-0.48372+0.083817i,-6.1796
279,0.41872+0.25469i,-6.1943
283,-0.14753-0.46644i,-6.2101
287,-0.19536+0.44759i,-6.225
291,0.44076-0.20828i,-6.2407
295,-0.46814-0.13271i,-6.2567
299,0.26485+0.40704i,-6.2741
303,0.068076-0.47979i,-6.2924
307,-0.36611+0.31602i,-6.3095
311,0.48267+0.0027297i,-6.3268
315,-0.36113-0.31887i,-6.3434
320,0.3226+0.35631i,-6.3634
324,-0.0087804-0.47962i,-6.3805
328,-0.30811+0.36643i,-6.3979
333,0.34602-0.32902i,-6.421
337,-0.476+0.02034i,-6.4399
342,0.47407+0.032685i,-6.4626
347,-0.46629-0.084964i,-6.4851
351,0.29491+0.36983i,-6.5024
356,-0.25142-0.3992i,-6.5253
361,0.20502+0.42345i,-6.5494
366,-0.15629-0.44233i,-6.5742
371,0.10592+0.4557i,-6.5979
376,-0.054591-0.46343i,-6.6204
381,0.0029152+0.46538i,-6.6436
386,0.048446-0.46155i,-6.6681
391,-0.098993+0.45203i,-6.6932
397,-0.12719-0.44327i,-6.723
402,0.077119+0.45341i,-6.7463
408,-0.28248-0.36097i,-6.7758
413,0.24017+0.38884i,-6.8011
419,-0.3947-0.22712i,-6.8325
424,0.36615+0.26863i,-6.8565
430,-0.44833-0.061956i,-6.8859
436,0.4223-0.15817i,-6.9174
442,-0.29521+0.33874i,-6.9489
448,0.098253-0.43683i,-6.9794
454,0.12099+0.42947i,-7.0097
460,-0.30965-0.319i,-7.0412
467,0.42264-0.13154i,-7.0791
473,-0.30809+0.31569i,-7.109
479,0.12023-0.42274i,-7.1408
486,0.32145+0.29687i,-7.1792
493,-0.40835+0.15214i,-7.2149
499,0.28556-0.32702i,-7.2471
506,0.16217+0.40065i,-7.2858
513,-0.42891-0.036i,-7.3221
520,0.22461-0.365i,-7.3596
527,0.22335+0.36354i,-7.3981
534,-0.42341+0.035166i,-7.4349
541,0.15882-0.39201i,-7.4741
549,0.40812+0.10275i,-7.5173
556,-0.2745+0.3166i,-7.5552
564,-0.34964-0.22699i,-7.6001
571,0.35875-0.20887i,-7.6365
579,0.2552+0.3247i,-7.6813
587,-0.28487+0.29622i,-7.7237
595,-0.33112-0.23981i,-7.769
603,0.19068-0.35931i,-7.813
611,0.38036+0.13829i,-7.857
620,0.15551+0.37116i,-7.9064
628,-0.3442+0.20447i,-7.951
637,-0.38161-0.11349i,-7.9995
645,0.05903-0.39164i,-8.0446
654,0.32587-0.2212i,-8.0932
663,0.3814+0.088666i,-8.1439
672,0.19274+0.33834i,-8.1924
681,-0.11695+0.36904i,-8.2429
691,-0.19274+0.33288i,-8.2986
700,-0.3732+0.084042i,-8.3463
709,-0.3133-0.21566i,-8.3965
719,-0.25772-0.27645i,-8.4514
729,-0.1908-0.32357i,-8.5047
739,-0.1157-0.35487i,-8.5599
749,-0.036175-0.36912i,-8.6152
759,0.043971-0.36595i,-8.6693
769,0.12107-0.34574i,-8.7227
780,-0.019135-0.36332i,-8.7821
790,0.05922-0.35666i,-8.8368
801,-0.080171-0.35001i,-8.8962
812,-0.20577-0.29135i,-8.9543
823,-0.29902-0.18999i,-9.0133
834,-0.34645-0.061649i,-9.0718
846,-0.23817+0.25554i,-9.1354
857,-0.12228+0.32474i,-9.1935
869,0.20485+0.27697i,-9.2563
881,0.34134-0.021553i,-9.319
893,0.16595-0.2962i,-9.3827
905,-0.15761-0.29803i,-9.4439
917,-0.33349-0.029101i,-9.5053
930,-0.017834+0.3317i,-9.5726
942,0.2671+0.19357i,-9.6333
955,0.18311-0.27139i,-9.6988
968,-0.2753-0.17257i,-9.7647
981,-0.16195+0.27883i,-9.8308
995,0.31783-0.036472i,-9.8992
1008,-0.046904-0.31406i,-9.964
1022,-0.22195+0.22352i,-10.034
1036,0.30947+0.043904i,-10.101
1050,-0.14866-0.27213i,-10.17
1064,-0.12819+0.27973i,-10.237
1079,0.20858-0.22275i,-10.309
1093,-0.30096-0.033634i,-10.376
1108,0.27251+0.12632i,-10.447
1123,-0.2167-0.20448i,-10.517
1139,0.26309+0.13435i,-10.592
1154,-0.20535-0.20907i,-10.661
1170,0.25365+0.14182i,-10.734
1186,-0.2809-0.064324i,-10.807
1202,0.28525-0.017023i,-10.88
1218,-0.26676+0.095757i,-10.951
1235,0.092223-0.26539i,-11.027
1252,0.14738+0.23639i,-11.101
1269,-0.27417-0.0334i,-11.176
1286,0.19645-0.19085i,-11.249
1304,0.17472+0.20775i,-11.326
1321,-0.26913+0.0056016i,-11.399
1339,0.013528-0.26654i,-11.474
1357,0.26259+0.032201i,-11.55
1376,0.10537+0.24009i,-11.627
1395,-0.15132+0.21125i,-11.705
1414,-0.2566-0.022053i,-11.783
1433,-0.11111-0.22987i,-11.858
1452,0.13968-0.21105i,-11.935
1472,0.21272-0.13287i,-12.013
1492,0.24645-0.032394i,-12.091
1513,0.23453-0.075135i,-12.172
1533,0.24241+0.028633i,-12.249
1554,0.24142-0.014964i,-12.328
1575,0.23274-0.057344i,-12.407
1597,0.1226-0.20334i,-12.489
1618,0.08351-0.22005i,-12.565
1640,-0.095946-0.21258i,-12.644
1663,-0.224+0.056517i,-12.727
1685,-0.11708+0.19677i,-12.805
1708,0.1715+0.14847i,-12.886
1731,0.17467-0.14145i,-12.966
1755,-0.19953-0.098783i,-13.048
1779,-0.0064306+0.22047i,-13.129
1803,0.20115-0.085368i,-13.21
1828,-0.21457-0.028432i,-13.293
1853,0.16874+0.13228i,-13.375
1878,-0.077413-0.1978i,-13.457
1903,-0.033531+0.20778i,-13.536
1929,0.01787-0.20774i,-13.617
1955,-0.0023523+0.20655i,-13.699
1982,-0.12701-0.16035i,-13.784
2009,0.19777+0.044119i,-13.866
2036,-0.1797+0.089488i,-13.947
2064,-0.035543-0.1956i,-14.031
2092,0.19591+0.020118i,-14.113
2121,0.043076+0.19021i,-14.198
2150,-0.16492+0.10062i,-14.28
2179,-0.1466-0.12298i,-14.363
2208,0.069013-0.17657i,-14.444
2238,0.15914-0.099676i,-14.527
2269,0.16062-0.093714i,-14.612
2300,0.1619-0.08781i,-14.695
2331,0.16301-0.081931i,-14.778
2363,0.091217-0.15597i,-14.862
2395,-0.0083609-0.17879i,-14.944
2428,-0.16704-0.05928i,-15.029
2461,-0.1169+0.13097i,-15.112
2494,0.076345+0.15625i,-15.194
2528,0.13457-0.10751i,-15.277
2562,-0.13297-0.10688i,-15.36
2597,0.025184+0.16707i,-15.444
2633,-0.0020965-0.16732i,-15.528
2669,-0.020523+0.16446i,-15.612
2705,0.042389-0.15858i,-15.695
2742,0.033754+0.15905i,-15.778
2779,-0.10119-0.12528i,-15.861
2817,0.15675-0.029548i,-15.944
2855,-0.04775+0.15066i,-16.024
2894,-0.15362-0.030056i,-16.108
2933,0.012291-0.15455i,-16.191
2973,0.12301-0.091945i,-16.274
3014,0.14015-0.059099i,-16.357
3055,0.14885-0.023513i,-16.438
3096,0.14875+0.012811i,-16.518
3139,0.093529-0.11452i,-16.603
3181,0.046118-0.13905i,-16.683
3225,-0.13813-0.044559i,-16.765
3268,-0.1136+0.088135i,-16.846
3313,0.13626+0.041504i,-16.927
3358,-0.044325-0.13399i,-17.007
3404,-0.0040334+0.13975i,-17.089
3450,0.051026-0.1288i,-17.169
3497,-0.016192+0.1363i,-17.249
3545,-0.092467-0.099725i,-17.329
3593,0.13463-0.0058039i,-17.409
3642,-0.0072951+0.13332i,-17.489
3691,-0.13083-0.020072i,-17.565
3741,-0.045858-0.12288i,-17.644
3792,0.012579-0.12935i,-17.723
3844,-0.0072354-0.12859i,-17.802
3896,-0.026507-0.12486i,-17.88
3949,-0.10429-0.071595i,-17.958
4003,-0.090429+0.086918i,-18.032
4058,0.1144+0.048561i,-18.112
4113,-0.00024602-0.12322i,-18.186
4169,-0.064702+0.10361i,-18.262
4226,0.059221-0.1056i,-18.339
4283,-0.053718+0.10735i,-18.414
4341,-0.022524-0.1169i,-18.485
4400,0.11718+0.014019i,-18.561
4460,0.020785+0.11518i,-18.633
4521,-0.054364+0.10251i,-18.708
4583,-0.059793+0.098306i,-18.781
4645,-0.064948+0.093841i,-18.852
4708,-0.0064605+0.11299i,-18.925
4772,0.099934+0.051118i,-18.996
4837,0.03089-0.10696i,-19.068
4903,-0.095961+0.054631i,-19.139
4970,0.10282-0.037828i,-19.207
5037,-0.10679+0.020294i,-19.276
5106,0.035346-0.10188i,-19.345
5175,0.070172+0.080754i,-19.414
5246,-0.017219+0.10476i,-19.48
5317,-0.090885+0.053252i,-19.548
5390,-0.067743+0.079625i,-19.614
5463,-0.03742+0.096772i,-19.68
5537,0.055938+0.086468i,-19.745
5613,0.040729-0.093715i,-19.812
5689,-0.099886+0.017816i,-19.874
5767,0.092493-0.03981i,-19.94
5845,-0.080408+0.059397i,-20.003
5925,-0.048423-0.086652i,-20.064
6005,0.091454-0.036809i,-20.124
6087,0.097351+0.0098367i,-20.189
6170,0.097165-0.0022369i,-20.248
6254,0.070391-0.066054i,-20.307
6339,-0.047681-0.083154i,-20.368
6425,-0.059589+0.074289i,-20.424
6513,0.057881-0.074817i,-20.483
6601,-0.056209+0.075294i,-20.541
6691,-0.051967-0.077532i,-20.599
6782,0.06064-0.070161i,-20.655
6874,0.09095-0.014912i,-20.709
6968,0.07117-0.057621i,-20.765
7063,-0.021201-0.088526i,-20.816
7159,-0.083466+0.034948i,-20.868
7256,0.082613+0.035467i,-20.924
7355,-0.089364+0.00057497i,-20.977
7455,0.046122-0.075954i,-21.026
7557,0.08774-0.010293i,-21.077
7659,0.061725+0.062487i,-21.127
7764,0.086674-0.010551i,-21.178
7869,0.044444-0.074601i,-21.226
7977,-0.069992+0.050605i,-21.273
8085,0.083841-0.018576i,-21.323
8195,-0.044396+0.072988i,-21.368
8307,-0.084586-0.0082173i,-21.413
8420,-0.06924-0.04847i,-21.461
8534,-0.073044-0.041609i,-21.508
8650,-0.058928+0.059393i,-21.549
8768,0.082075-0.013949i,-21.592
8887,-0.081844+0.012789i,-21.635
9008,0.017597-0.080547i,-21.676
9131,0.066332-0.048237i,-21.722
9255,0.071305-0.039801i,-21.76
9381,-0.0026639-0.081226i,-21.801
9509,-0.058032+0.05634i,-21.843
9638,0.06892-0.041678i,-21.88
9770,0.043112+0.067591i,-21.92
