Frequency (Hz), H(j), Amplitude Response (dB)
20,0.097744-0.00027813i,-20.198
21,0.083054-0.054359i,-20.064
22,0.040285-0.092205i,-19.946
23,-0.017093-0.1004i,-19.841
24,-0.070178-0.075339i,-19.747
25,-0.1011-0.024529i,-19.657
26,-0.098714+0.03557i,-19.582
27,-0.063196+0.08475i,-19.517
28,-0.005913+0.10636i,-19.451
29,0.054213+0.09249i,-19.396
30,0.09689+0.047339i,-19.345
31,0.10755-0.014641i,-19.288
32,0.081817-0.072111i,-19.247
33,0.028164-0.10586i,-19.208
34,-0.03554-0.10414i,-19.169
35,-0.087806-0.066981i,-19.138
36,-0.11065-0.0068205i,-19.105
37,-0.09603+0.05621i,-19.072
38,-0.048563+0.10048i,-19.046
39,0.01576+0.11082i,-19.021
40,0.075166+0.083404i,-18.994
41,0.10917+0.027349i,-18.973
42,0.10608-0.038365i,-18.954
43,0.066691-0.091314i,-18.933
44,0.0042692-0.11321i,-18.916
45,-0.05987-0.096469i,-18.897
46,-0.10376-0.046563i,-18.883
47,-0.11226+0.01952i,-18.866
48,-0.082222+0.079161i,-18.852
49,-0.023894+0.11178i,-18.839
50,0.042791+0.10584i,-18.849
51,0.0951+0.063971i,-18.815
52,0.11475-0.00032398i,-18.805
53,0.095032-0.064687i,-18.789
54,0.042437-0.10692i,-18.784
55,-0.024839-0.11245i,-18.774
56,-0.083705-0.07925i,-18.766
57,-0.11388-0.018663i,-18.756
58,-0.10481+0.048488i,-18.75
59,-0.059611+0.099079i,-18.739
60,0.0062868+0.11559i,-18.729
61,0.070171+0.092148i,-18.724
62,0.1099+0.036915i,-18.716
63,0.11173-0.031205i,-18.71
64,0.075002-0.088605i,-18.704
65,0.012265-0.11549i,-18.7
66,-0.054791-0.10249i,-18.695
67,-0.10296-0.054053i,-18.689
68,-0.1156+0.01317i,-18.685
69,-0.088241+0.075887i,-18.682
70,-0.030321+0.11244i,-18.677
71,0.038108+0.1101i,-18.673
72,0.093494+0.06965i,-18.667
73,0.11652+0.0050321i,-18.664
74,0.099225-0.061382i,-18.66
75,0.047549-0.10658i,-18.658
76,-0.020642-0.11493i,-18.653
77,-0.081766-0.08347i,-18.648
78,-0.11458-0.02302i,-18.646
79,-0.10771+0.045428i,-18.644
80,-0.063502+0.098169i,-18.642
82,0.068124+0.095118i,-18.636
83,0.10982+0.040342i,-18.636
84,0.11355-0.028483i,-18.631
85,0.077826-0.087479i,-18.63
