Frequency (Hz), H(j), Amplitude Response (dB)
20,0.27511-0.082849i,-10.833
21,0.18319-0.22564i,-10.733
22,0.024676-0.29261i,-10.644
23,-0.14597-0.25791i,-10.564
24,-0.26832-0.1314i,-10.493
25,-0.29777+0.043783i,-10.43
26,-0.22196+0.20615i,-10.373
27,-0.066225+0.29743i,-10.322
28,0.11508+0.28391i,-10.276
29,0.25732+0.16895i,-10.234
30,0.30908-0.0076017i,-10.196
31,0.25062-0.18319i,-10.161
32,0.10182-0.29446i,-10.129
33,-0.084703-0.30089i,-10.101
34,-0.24213-0.19921i,-10.074
35,-0.31337-0.025182i,-10.051
36,-0.27219+0.159i,-10.027
37,-0.13254+0.28684i,-10.007
38,0.055677+0.31171i,-9.9886
39,0.22465+0.22408i,-9.9706
40,0.31302+0.055034i,-9.9564
41,0.28853-0.1347i,-9.9399
42,0.15937-0.27626i,-9.926
43,-0.028052-0.31816i,-9.9135
44,-0.20587-0.24477i,-9.9015
45,-0.30948-0.082283i,-9.8908
46,-0.30095+0.11052i,-9.8808
47,-0.18305+0.26369i,-9.8699
48,0.0017781+0.3213i,-9.8616
49,0.1863+0.26219i,-9.8525
50,0.30301+0.10672i,-9.8631
51,0.31027-0.086706i,-9.8386
52,0.20406-0.24958i,-9.8326
53,0.023302-0.32177i,-9.8263
54,-0.16623-0.27672i,-9.821
55,-0.29537-0.1307i,-9.816
56,-0.31694+0.063248i,-9.8109
57,-0.22284+0.23432i,-9.8063
58,-0.047231+0.32003i,-9.8027
59,0.1458+0.28896i,-9.7982
60,0.28578+0.15225i,-9.7943
61,0.3214-0.040243i,-9.7916
62,0.23955-0.21817i,-9.7888
63,0.070093-0.31646i,-9.7856
64,-0.12516-0.29909i,-9.7832
65,-0.27476-0.17229i,-9.7809
66,-0.3239+0.017628i,-9.7791
67,-0.25449+0.20119i,-9.778
68,-0.091955+0.31119i,-9.776
69,0.10438+0.30731i,-9.7743
70,0.26253+0.19085i,-9.774
71,0.3246+0.0044826i,-9.7722
72,0.26776-0.18361i,-9.7711
73,0.11279-0.30446i,-9.7708
74,-0.083552-0.31377i,-9.7702
75,-0.24928-0.2081i,-9.7697
76,-0.32369-0.026102i,-9.7694
77,-0.27942+0.16547i,-9.7694
78,-0.1327+0.29639i,-9.7693
79,0.062708+0.31863i,-9.7693
80,0.23512+0.22402i,-9.769
82,0.28955-0.14694i,-9.7704
83,0.15161-0.2871i,-9.7711
84,-0.041942-0.32192i,-9.7719
85,-0.2201-0.23861i,-9.7726
86,-0.31745-0.067711i,-9.7734
87,-0.29825+0.12798i,-9.7744
88,-0.16957+0.27665i,-9.7761
90,0.20435+0.25199i,-9.7775
91,0.31228+0.087663i,-9.7796
92,0.30551-0.10879i,-9.7809
93,0.18656-0.26522i,-9.7821
95,-0.18795-0.26406i,-9.7859
96,-0.3059-0.10698i,-9.7874
97,-0.31143+0.089362i,-9.7892
99,-0.019275+0.32328i,-9.7929
100,0.17098+0.27494i,-9.7952
101,0.29832+0.12563i,-9.7972
103,0.21755-0.23951i,-9.8009
104,0.039192-0.32109i,-9.8034
105,-0.15351-0.28463i,-9.8057
107,-0.31927+0.050194i,-9.8107
108,-0.23151+0.22539i,-9.813
110,0.13561+0.29309i,-9.8174
111,0.27996+0.16076i,-9.8203
113,0.24448-0.21058i,-9.825
114,0.077791-0.31306i,-9.8273
116,-0.2693-0.17718i,-9.8333
118,-0.25636+0.1951i,-9.8386
119,-0.096408+0.30728i,-9.8415
121,0.2577+0.1928i,-9.8473
122,0.32164+0.0083795i,-9.8497
124,0.11453-0.30046i,-9.8552
126,-0.2453-0.20757i,-9.8608
127,-0.32004-0.027563i,-9.8639
129,-0.13205+0.29257i,-9.8701
131,0.23209+0.22145i,-9.8757
133,0.28567-0.14545i,-9.8817
135,-0.042504-0.31748i,-9.8887
136,-0.21816-0.23438i,-9.8916
138,-0.29323+0.12806i,-9.8978
140,0.023661+0.31883i,-9.9049
142,0.30845+0.083257i,-9.9109
144,0.18059-0.26324i,-9.9178
146,-0.1884-0.2574i,-9.9248
148,-0.30501+0.092471i,-9.9319
150,-0.013723+0.31817i,-9.9389
152,0.29544+0.11821i,-9.9458
154,0.20914-0.23941i,-9.9543
156,-0.15654-0.27636i,-9.962
158,-0.31231+0.056185i,-9.97
160,-0.050294+0.31299i,-9.9787
163,0.31425-0.037951i,-9.9915
165,0.068116-0.30881i,-9.9998
167,-0.2686-0.16629i,-10.009
169,-0.24553+0.19825i,-10.018
172,0.25788+0.18101i,-10.032
174,0.25584-0.18327i,-10.042
176,-0.088209-0.30175i,-10.051
179,-0.26522+0.16779i,-10.066
181,0.07056+0.30545i,-10.075
184,0.27361-0.15186i,-10.091
186,-0.052743-0.30811i,-10.1
189,-0.28111+0.13555i,-10.115
191,0.034932+0.30975i,-10.125
194,0.28756-0.11895i,-10.139
196,-0.017156-0.31035i,-10.15
199,-0.29307+0.10211i,-10.163
202,0.17881+0.25298i,-10.178
205,0.19332-0.24138i,-10.194
207,-0.16374-0.26193i,-10.204
210,-0.20604+0.22937i,-10.22
213,0.27689+0.13431i,-10.236
216,0.052332-0.30269i,-10.252
219,-0.30472+0.033403i,-10.27
222,0.11621+0.28299i,-10.288
225,0.2393-0.18958i,-10.305
228,-0.24792-0.17711i,-10.323
231,-0.1014+0.28662i,-10.342
234,0.30287+0.018031i,-10.36
237,-0.066367-0.29542i,-10.377
241,-0.13195+0.27163i,-10.4
244,0.29692+0.051472i,-10.419
247,-0.032725-0.29898i,-10.435
