Frequency (Hz), H(j), Amplitude Response (dB)
20,0.1372-0.022122i,-17.141
21,0.1034-0.095641i,-17.025
22,0.033365-0.13853i,-16.924
23,-0.049783-0.13512i,-16.833
24,-0.11768-0.085303i,-16.752
25,-0.14647-0.0052175i,-16.679
26,-0.12533+0.078073i,-16.615
27,-0.060631+0.13576i,-16.555
28,0.025988+0.14734i,-16.501
29,0.10471+0.10803i,-16.452
30,0.14807+0.030788i,-16.407
31,0.14041-0.058012i,-16.368
32,0.083827-0.12749i,-16.33
33,-0.002497-0.15313i,-16.297
34,-0.088648-0.12555i,-16.267
35,-0.14447-0.053924i,-16.238
36,-0.15016+0.037098i,-16.211
37,-0.10328+0.11569i,-16.189
38,-0.019926+0.15419i,-16.167
39,0.070869+0.13881i,-16.146
40,0.13731+0.074512i,-16.125
41,0.15567-0.016196i,-16.109
42,0.1194-0.10164i,-16.093
43,0.040943-0.15162i,-16.079
44,-0.052224-0.14839i,-16.065
45,-0.12731-0.092812i,-16.052
46,-0.15769-0.0043104i,-16.041
47,-0.13254+0.085993i,-16.027
48,-0.060449+0.14615i,-16.018
49,0.033163+0.15481i,-16.009
50,0.11534+0.10886i,-15.994
51,0.1568+0.024091i,-15.992
52,0.1429-0.069247i,-15.983
53,0.078348-0.13828i,-15.976
54,-0.014051-0.15843i,-15.969
55,-0.10166-0.12246i,-15.963
56,-0.15334-0.043021i,-15.958
57,-0.15072+0.051796i,-15.952
58,-0.094589+0.12836i,-15.948
59,-0.0048362+0.15947i,-15.942
60,0.086731+0.13396i,-15.94
61,0.14763+0.060879i,-15.935
62,0.15612-0.033918i,-15.931
63,0.10913-0.11676i,-15.927
64,0.023313-0.15816i,-15.925
65,-0.070874-0.14336i,-15.922
66,-0.1399-0.077553i,-15.92
67,-0.1592+0.015882i,-15.918
68,-0.12188+0.10373i,-15.915
69,-0.041153+0.15471i,-15.913
70,0.054266+0.15063i,-15.912
71,0.13042+0.092922i,-15.91
72,0.16014+0.0021006i,-15.909
73,0.13284-0.089493i,-15.908
74,0.058197-0.14925i,-15.907
75,-0.037181-0.15583i,-15.907
76,-0.11936-0.10687i,-15.906
77,-0.15899-0.019816i,-15.905
78,-0.14195+0.074314i,-15.905
79,-0.074289+0.14197i,-15.905
80,0.019869+0.15899i,-15.905
82,0.15586+0.037075i,-15.906
83,0.1492-0.05839i,-15.906
84,0.089282-0.13301i,-15.907
85,-0.0024844-0.16018i,-15.907
86,-0.09336-0.13017i,-15.907
87,-0.1509-0.053699i,-15.908
88,-0.15456+0.041932i,-15.91
90,-0.014731+0.15945i,-15.911
91,0.078799+0.13936i,-15.913
92,0.14418+0.069505i,-15.914
93,0.15806-0.025136i,-15.915
95,0.031633-0.15684i,-15.918
96,-0.063459-0.14684i,-15.92
97,-0.13586-0.084385i,-15.921
99,-0.12643+0.097842i,-15.925
100,-0.048012+0.15244i,-15.927
101,0.047551+0.15256i,-15.928
103,0.15949+0.0086586i,-15.932
104,0.13591-0.083881i,-15.933
105,0.063719-0.14639i,-15.936
107,-0.11493-0.11068i,-15.942
108,-0.15752-0.0253i,-15.942
110,-0.078569+0.13876i,-15.947
111,0.014677+0.15872i,-15.95
113,0.1538+0.041507i,-15.955
114,0.14994-0.053679i,-15.958
116,0.0018865-0.15915i,-15.963
