Frequency (Hz), H(j), Amplitude Response (dB)
20,0.25696-0.078682i,-11.413
21,0.17035-0.21189i,-11.313
22,0.02182-0.27381i,-11.224
23,-0.13759-0.24058i,-11.146
24,-0.25147-0.12179i,-11.075
25,-0.27825+0.042145i,-11.013
26,-0.20676+0.19363i,-10.956
27,-0.060743+0.27839i,-10.905
28,0.10869+0.26501i,-10.86
29,0.24128+0.15695i,-10.817
30,0.28898-0.0083374i,-10.779
31,0.23363-0.17213i,-10.746
32,0.094092-0.27567i,-10.714
33,-0.08033-0.28096i,-10.686
34,-0.22712-0.18531i,-10.659
35,-0.29306-0.022323i,-10.636
36,-0.25386+0.14964i,-10.613
37,-0.12281+0.2686i,-10.593
38,0.053186+0.29118i,-10.574
39,0.21081+0.20861i,-10.557
40,0.29287+0.05031i,-10.54
41,0.26918-0.12694i,-10.527
42,0.14792-0.25878i,-10.513
43,-0.027382-0.29724i,-10.501
44,-0.1933-0.22801i,-10.489
45,-0.28954-0.075779i,-10.478
46,-0.28086+0.10437i,-10.468
47,-0.1701+0.24705i,-10.459
48,0.0028068+0.30024i,-10.45
49,0.17501+0.24426i,-10.443
50,0.28518+0.10041i,-10.39
51,0.28962-0.082126i,-10.428
52,0.1898-0.23394i,-10.421
53,0.020611-0.30074i,-10.416
54,-0.1563-0.25797i,-10.411
55,-0.27648-0.12103i,-10.405
56,-0.2959+0.060246i,-10.401
57,-0.20734+0.21975i,-10.396
58,-0.04295+0.2992i,-10.392
59,0.13728+0.26946i,-10.388
60,0.26758+0.14124i,-10.383
61,0.30012-0.03877i,-10.382
62,0.22302-0.2047i,-10.379
63,0.064319-0.29591i,-10.376
64,-0.11803-0.27896i,-10.374
65,-0.25731-0.15994i,-10.372
66,-0.30252+0.017679i,-10.37
67,-0.23703+0.18891i,-10.368
68,-0.084718+0.29105i,-10.367
69,0.098665+0.28672i,-10.365
70,0.24597+0.17733i,-10.364
71,0.30326+0.0029742i,-10.363
72,0.24946-0.17252i,-10.362
73,0.10423-0.28485i,-10.362
74,-0.079228-0.29282i,-10.361
75,-0.23367-0.19344i,-10.361
76,-0.30249-0.023139i,-10.36
77,-0.26039+0.15566i,-10.361
78,-0.12283+0.2774i,-10.36
79,0.059807+0.29742i,-10.361
80,0.22051+0.20836i,-10.36
82,0.26995-0.13838i,-10.361
83,0.14051-0.26881i,-10.362
84,-0.040468-0.30059i,-10.362
85,-0.20658-0.22204i,-10.363
86,-0.29685-0.061984i,-10.364
87,-0.27813+0.12079i,-10.365
88,-0.15731+0.25919i,-10.366
90,0.19198+0.23456i,-10.368
91,0.29215+0.080593i,-10.369
92,0.28502-0.10293i,-10.37
93,0.17317-0.24861i,-10.372
95,-0.17676-0.24593i,-10.375
96,-0.28631-0.098619i,-10.376
97,-0.29063+0.084884i,-10.378
99,-0.016573+0.30218i,-10.382
100,0.16104+0.25616i,-10.383
101,0.27938+0.11602i,-10.385
103,0.20216-0.22483i,-10.39
104,0.035071-0.30027i,-10.391
105,-0.14483-0.26527i,-10.393
107,-0.29815+0.048486i,-10.398
108,-0.21521+0.21183i,-10.401
110,0.12826+0.27321i,-10.405
111,0.26251+0.14878i,-10.407
113,0.22735-0.19813i,-10.412
114,0.070985-0.29299i,-10.415
116,-0.25268-0.16408i,-10.421
118,-0.23847+0.18381i,-10.426
119,-0.088291+0.28774i,-10.429
121,0.24198+0.17863i,-10.435
122,0.30064+0.005853i,-10.438
124,0.10513-0.28146i,-10.444
126,-0.23053-0.19237i,-10.45
127,-0.2992-0.02366i,-10.454
129,-0.12141+0.27424i,-10.46
131,0.21833+0.2053i,-10.466
133,0.26582-0.13785i,-10.474
135,-0.041964-0.29623i,-10.481
136,-0.20543-0.21734i,-10.485
138,-0.27291+0.12174i,-10.491
140,0.024454+0.29756i,-10.499
142,0.28861+0.075414i,-10.507
144,0.1666-0.24713i,-10.515
146,-0.17787-0.23882i,-10.522
148,-0.28397+0.088686i,-10.53
150,-0.010328+0.29702i,-10.539
152,0.27663+0.10797i,-10.546
154,0.19325-0.22508i,-10.555
156,-0.14829-0.25663i,-10.563
158,-0.29094+0.05496i,-10.572
160,-0.044374+0.29246i,-10.58
163,0.2929-0.037999i,-10.593
165,0.060983-0.28867i,-10.602
167,-0.252-0.15288i,-10.611
169,-0.22738+0.18702i,-10.621
172,0.24216+0.16663i,-10.635
174,0.23708-0.17324i,-10.644
176,-0.085013-0.28072i,-10.653
179,-0.24591+0.15898i,-10.668
181,0.068669+0.28431i,-10.678
184,0.25382-0.14431i,-10.693
186,-0.052221-0.28692i,-10.703
189,-0.26083+0.12929i,-10.719
191,0.035761+0.28857i,-10.729
194,0.26694-0.11394i,-10.745
196,-0.019333-0.28924i,-10.755
199,-0.27211+0.09837i,-10.772
202,0.16949+0.23382i,-10.788
205,0.17747-0.22712i,-10.805
207,-0.15555-0.24224i,-10.816
210,-0.18936+0.21609i,-10.833
213,0.25954+0.12191i,-10.85
216,0.045198-0.2826i,-10.867
219,-0.2835+0.03474i,-10.884
222,0.11167+0.26225i,-10.902
225,0.22062-0.17957i,-10.92
228,-0.23318-0.16191i,-10.937
231,-0.090768+0.26832i,-10.956
234,0.28237+0.012844i,-10.975
237,-0.065769-0.27429i,-10.993
241,-0.11911+0.25476i,-11.019
244,0.27718+0.043729i,-11.038
247,-0.034751-0.27784i,-11.057
251,-0.14547+0.23826i,-11.083
254,0.26865+0.073522i,-11.103
257,-0.0038543-0.27788i,-11.122
261,-0.16953+0.21913i,-11.149
264,0.25698+0.10185i,-11.168
268,-0.1372-0.23899i,-11.195
272,-0.041316+0.27158i,-11.223
275,0.27172-0.035618i,-11.243
279,-0.23404-0.14087i,-11.271
283,0.095147+0.25513i,-11.299
287,0.084095-0.25804i,-11.328
291,-0.22571+0.14912i,-11.356
295,0.26859+0.023708i,-11.384
299,-0.19483-0.1851i,-11.413
303,0.03719+0.26526i,-11.442
307,0.13549-0.23002i,-11.471
