Frequency (Hz), H(j), Amplitude Response (dB)
20,0.22567+0.1025i,-12.116
21,0.24854-0.033374i,-12.015
22,0.19467-0.1622i,-11.924
23,0.078884-0.24323i,-11.845
24,-0.063846-0.24976i,-11.775
25,-0.18898-0.17807i,-11.712
26,-0.25669-0.049317i,-11.654
27,-0.24449+0.096809i,-11.602
28,-0.15492+0.21418i,-11.557
29,-0.015315+0.2652i,-11.514
30,0.13058+0.23268i,-11.476
31,0.23637+0.12597i,-11.443
32,0.26797-0.021679i,-11.41
33,0.21444-0.16362i,-11.381
34,0.092185-0.25438i,-11.354
35,-0.060381-0.2645i,-11.331
36,-0.19447-0.19016i,-11.309
37,-0.26712-0.054534i,-11.289
38,-0.25459+0.099237i,-11.269
39,-0.16032+0.22193i,-11.252
40,-0.01426+0.27389i,-11.237
41,0.13709+0.23811i,-11.221
42,0.24485+0.12558i,-11.208
43,0.27418-0.02772i,-11.195
44,0.21532-0.17263i,-11.182
45,0.086873-0.26231i,-11.172
46,-0.069916-0.26765i,-11.162
47,-0.20457-0.18666i,-11.153
48,-0.27348-0.045169i,-11.144
49,-0.2542+0.11117i,-11.137
50,-0.15309+0.23204i,-11.119
51,-0.001659+0.27789i,-11.122
52,0.1502+0.23407i,-11.115
53,0.25371+0.11439i,-11.11
54,0.27522-0.042521i,-11.104
55,0.20759-0.18588i,-11.099
56,0.072609-0.26916i,-11.095
57,-0.086085-0.26532i,-11.09
58,-0.21703-0.1754i,-11.086
59,-0.2777-0.02852i,-11.083
60,-0.24831+0.12779i,-11.08
61,-0.1383+0.24274i,-11.076
62,0.016698+0.27897i,-11.073
63,0.1664+0.2246i,-11.071
64,0.26215+0.09723i,-11.069
65,0.27278-0.061784i,-11.066
66,0.19475-0.20084i,-11.064
67,0.053324-0.27468i,-11.063
68,-0.10547-0.25921i,-11.062
69,-0.23005-0.15944i,-11.06
70,-0.2798-0.0077545i,-11.06
71,-0.23858+0.14652i,-11.058
72,-0.11965+0.25313i,-11.058
73,0.038247+0.27738i,-11.057
74,0.18372+0.21134i,-11.056
75,0.26938+0.076443i,-11.056
76,0.26734-0.083354i,-11.056
77,0.1782-0.21601i,-11.056
78,0.031002-0.27831i,-11.056
79,-0.1263-0.24993i,-11.056
80,-0.24245-0.14012i,-11.056
82,-0.22558+0.16586i,-11.057
83,-0.098009+0.26225i,-11.058
84,0.061467+0.27312i,-11.058
85,0.20091+0.19492i,-11.059
86,0.27482+0.053169i,-11.06
87,0.25904-0.10591i,-11.061
88,0.1588-0.23041i,-11.062
90,-0.14746-0.23773i,-11.065
91,-0.25351-0.11821i,-11.066
92,-0.27681+0.039874i,-11.067
93,-0.20976+0.18491i,-11.068
95,0.085432+0.26614i,-11.072
96,0.21718+0.17588i,-11.073
97,0.27799+0.028222i,-11.075
99,0.13703-0.24336i,-11.079
100,-0.018627-0.27859i,-11.081
101,-0.16814-0.22285i,-11.083
103,-0.27137+0.064946i,-11.087
104,-0.1914+0.20293i,-11.089
105,-0.048969+0.27456i,-11.091
107,0.23196+0.15458i,-11.096
108,0.27865+0.0022303i,-11.099
110,0.11332-0.25439i,-11.104
111,-0.044542-0.27483i,-11.106
113,-0.26956-0.06894i,-11.112
114,-0.26318+0.090009i,-11.114
116,-0.022604+0.27705i,-11.12
118,0.24479+0.13129i,-11.126
119,0.27661-0.024318i,-11.129
121,0.088099-0.2631i,-11.136
122,-0.070498-0.26827i,-11.139
124,-0.27389-0.042462i,-11.145
126,-0.14815+0.23399i,-11.152
127,0.0043298+0.2768i,-11.156
129,0.25534+0.10641i,-11.162
131,0.19931-0.19148i,-11.17
133,-0.095955-0.25894i,-11.177
135,-0.27548-0.015317i,-11.185
136,-0.23871+0.13814i,-11.188
138,0.031428+0.27373i,-11.197
140,0.26332+0.080301i,-11.204
142,0.17851-0.20922i,-11.213
144,-0.12056-0.24691i,-11.221
146,-0.27425+0.012075i,-11.229
148,-0.098178+0.25606i,-11.238
150,0.19548+0.19196i,-11.246
152,0.25372-0.10263i,-11.255
154,0.007031-0.27332i,-11.264
156,-0.24761-0.11529i,-11.272
158,-0.20421+0.18092i,-11.282
160,0.084463+0.25916i,-11.29
163,0.24069-0.12699i,-11.304
165,-0.020535-0.27106i,-11.314
167,-0.2565-0.089075i,-11.324
169,-0.18371+0.19954i,-11.333
172,0.22748+0.14688i,-11.348
174,0.22508-0.14996i,-11.358
176,-0.047841-0.2659i,-11.367
179,-0.25345+0.092188i,-11.383
181,-0.016356+0.26887i,-11.393
184,0.26725-0.029559i,-11.409
186,0.079196-0.2566i,-11.42
189,-0.26585-0.034282i,-11.436
191,-0.13713+0.22994i,-11.446
194,0.24944+0.09578i,-11.463
196,0.18693-0.19044i,-11.475
199,-0.21906-0.15145i,-11.492
202,-0.11166+0.24118i,-11.51
205,0.25617+0.068776i,-11.527
207,0.16483-0.20735i,-11.539
210,-0.23194-0.12679i,-11.557
213,-0.085185+0.24965i,-11.575
216,0.25999+0.041251i,-11.593
219,-0.0037223-0.26268i,-11.611
222,-0.25764+0.048422i,-11.629
225,0.09152+0.24506i,-11.648
228,0.22532-0.13177i,-11.666
231,-0.16796-0.19904i,-11.686
234,-0.16705+0.19909i,-11.704
237,0.22422+0.13024i,-11.724
241,-0.058065-0.25189i,-11.751
244,-0.2377+0.10007i,-11.771
247,0.13895+0.21655i,-11.791
251,0.062815-0.24869i,-11.818
254,-0.25517-0.019257i,-11.839
257,0.024644+0.2541i,-11.859
261,0.168-0.19115i,-11.887
264,-0.2166-0.13243i,-11.908
268,0.051386+0.24779i,-11.935
272,0.14512-0.20633i,-11.963
275,-0.22761-0.10729i,-11.985
279,0.077209+0.2386i,-12.014
283,0.12077-0.21883i,-12.043
287,-0.24138+0.061462i,-12.073
291,0.20929+0.1335i,-12.102
295,-0.045722-0.24314i,-12.132
299,-0.14548+0.19907i,-12.162
303,0.24388-0.030115i,-12.191
307,-0.18824-0.15664i,-12.221
311,0.014661+0.24358i,-12.252
315,0.16692-0.17682i,-12.282
320,-0.20264+0.13243i,-12.321
324,0.23441+0.056816i,-12.352
328,-0.1187-0.20899i,-12.383
333,0.066453+0.22989i,-12.421
337,0.12153-0.20515i,-12.452
342,-0.16518+0.17047i,-12.491
347,0.1994-0.12676i,-12.532
351,-0.22811-0.058191i,-12.563
356,0.20738+0.10914i,-12.603
361,-0.17556-0.15364i,-12.642
366,0.13445+0.18936i,-12.681
371,-0.086437-0.21439i,-12.722
376,0.034173+0.22756i,-12.761
381,0.019455-0.22821i,-12.802
386,-0.071541+0.21648i,-12.841
391,0.11921-0.19314i,-12.881
397,-0.04595+0.221i,-12.928
402,0.095418-0.2034i,-12.969
408,-0.020234+0.22251i,-13.017
413,0.070847-0.21084i,-13.056
419,0.0053542+0.22116i,-13.103
424,0.04565-0.21541i,-13.144
430,0.030474+0.21686i,-13.192
436,-0.10218-0.19237i,-13.238
442,0.16094+0.14506i,-13.284
448,-0.19978-0.080819i,-13.331
454,0.21421+0.0075954i,-13.378
460,-0.20281+0.065838i,-13.423
467,0.06777-0.20081i,-13.476
473,0.005085+0.21075i,-13.522
479,-0.076583-0.19528i,-13.566
486,0.20123+0.054638i,-13.617
493,-0.16287+0.12821i,-13.669
499,0.10849-0.17542i,-13.712
506,0.07579+0.19058i,-13.761
513,-0.19708-0.052389i,-13.811
520,0.15864-0.12635i,-13.858
527,0.0069929+0.20162i,-13.904
534,-0.16524-0.11379i,-13.952
541,0.18884-0.064649i,-13.997
549,0.053814+0.19101i,-14.047
556,-0.18458-0.070102i,-14.091
564,0.079702-0.17947i,-14.138
571,0.096396+0.17i,-14.18
579,-0.17413+0.08649i,-14.225
587,-0.076464-0.17766i,-14.27
595,0.18069-0.066361i,-14.312
603,0.056214+0.18314i,-14.353
611,-0.18509+0.045989i,-14.392
620,-0.13238-0.13598i,-14.435
628,0.14234-0.12438i,-14.47
637,0.17838+0.059905i,-14.509
645,-0.069138+0.17429i,-14.54
654,-0.18461+0.028145i,-14.575
663,-0.11704-0.14468i,-14.605
672,0.065585-0.17346i,-14.636
681,0.1823-0.030881i,-14.662
691,0.17654+0.052939i,-14.689
700,0.043357+0.17863i,-14.713
709,-0.132+0.12734i,-14.732
719,-0.17438+0.055562i,-14.75
729,-0.18058-0.02736i,-14.768
739,-0.14958-0.10433i,-14.781
749,-0.087796-0.15959i,-14.792
759,-0.0080242-0.18181i,-14.799
769,0.073283-0.16644i,-14.805
780,0.05216-0.17415i,-14.808
790,0.12391-0.13306i,-14.807
801,0.10666-0.14736i,-14.803
812,0.087752-0.15949i,-14.797
823,0.067545-0.16924i,-14.788
834,0.046308-0.17651i,-14.775
846,-0.079364-0.16473i,-14.758
857,-0.099165-0.15406i,-14.741
869,-0.17582-0.053199i,-14.718
881,-0.16888+0.073641i,-14.692
893,-0.08121+0.16607i,-14.663
905,0.045858+0.17975i,-14.633
917,0.15194+0.10768i,-14.599
930,0.14665-0.11611i,-14.561
942,0.036792-0.18425i,-14.522
955,-0.16729-0.087542i,-14.479
968,-0.13179+0.13663i,-14.433
981,0.094509+0.16587i,-14.384
