Frequency (Hz), H(j), Amplitude Response (dB)
20,0.20787+0.00056824i,-13.644
21,0.17626-0.1149i,-13.539
22,0.084983-0.195i,-13.444
23,-0.03684-0.21157i,-13.361
24,-0.14877-0.15745i,-13.286
25,-0.21266-0.049365i,-13.218
26,-0.20582+0.077167i,-13.159
27,-0.12932+0.17942i,-13.106
28,-0.0080465+0.22229i,-13.056
29,0.11741+0.19026i,-13.012
30,0.20434+0.093237i,-12.972
31,0.22258-0.03661i,-12.934
32,0.16505-0.15501i,-12.901
33,0.05073-0.22148i,-12.871
34,-0.081797-0.21277i,-12.843
35,-0.18725-0.13115i,-12.818
36,-0.22921-0.0040999i,-12.794
37,-0.19279+0.12515i,-12.771
38,-0.089937+0.21207i,-12.752
39,0.044332+0.22652i,-12.735
40,0.16409+0.16314i,-12.713
41,0.22763+0.043255i,-12.701
42,0.21311-0.091963i,-12.686
43,0.12502-0.19598i,-12.673
44,-0.0065241-0.2327i,-12.661
45,-0.13621-0.18917i,-12.649
46,-0.21921-0.080146i,-12.638
47,-0.22662+0.056883i,-12.629
48,-0.15565+0.17458i,-12.62
49,-0.030676+0.23209i,-12.612
50,0.10535+0.20981i,-12.587
51,0.20496+0.11406i,-12.595
52,0.23378-0.021003i,-12.589
53,0.18159-0.14901i,-12.582
54,0.066306-0.22548i,-12.578
55,-0.072148-0.22383i,-12.572
56,-0.18574-0.14446i,-12.567
57,-0.23498-0.014791i,-12.562
58,-0.20258+0.12015i,-12.559
59,-0.099778+0.21348i,-12.555
60,0.037888+0.23268i,-12.551
61,0.16246+0.17097i,-12.547
62,0.23062+0.049725i,-12.545
63,0.2186-0.088926i,-12.542
64,0.13048-0.19671i,-12.54
65,-0.0031336-0.23609i,-12.538
66,-0.13571-0.19326i,-12.536
67,-0.22109-0.083087i,-12.535
68,-0.2295+0.056056i,-12.533
69,-0.1579+0.17575i,-12.532
70,-0.031268+0.23419i,-12.532
71,0.10629+0.21106i,-12.53
72,0.20685+0.11429i,-12.53
73,0.23528-0.022354i,-12.529
74,0.18164-0.15121i,-12.529
75,0.06466-0.22733i,-12.529
76,-0.074929-0.22415i,-12.529
77,-0.18836-0.14275i,-12.529
78,-0.23606-0.011525i,-12.529
79,-0.20135+0.12372i,-12.53
80,-0.096288+0.2158i,-12.53
82,0.16614+0.16798i,-12.532
83,0.23193+0.044856i,-12.534
84,0.21672-0.093928i,-12.535
85,0.12581-0.19986i,-12.536
86,-0.0090496-0.23593i,-12.538
87,-0.14067-0.1896i,-12.539
88,-0.2231-0.076997i,-12.541
90,-0.15249+0.18006i,-12.543
91,-0.02412+0.23466i,-12.546
92,0.11264+0.20721i,-12.547
93,0.20992+0.10733i,-12.55
