Frequency (Hz), H(j), Amplitude Response (dB)
20,0.1091+0.025167i,-19.018
21,0.1071-0.037873i,-18.892
22,0.070773-0.090734i,-18.781
23,0.010803-0.1159i,-18.681
24,-0.054075-0.10442i,-18.593
25,-0.10295-0.059083i,-18.511
26,-0.11951+0.0062176i,-18.44
27,-0.097723+0.070592i,-18.376
28,-0.043974+0.11316i,-18.315
29,0.024809+0.11961i,-18.262
30,0.086389+0.087297i,-18.215
31,0.12074+0.026049i,-18.165
32,0.11593-0.04421i,-18.126
33,0.073278-0.10078i,-18.09
34,0.006274-0.12495i,-18.054
35,-0.063343-0.10838i,-18.025
36,-0.11274-0.056199i,-17.995
37,-0.12553+0.014844i,-17.965
38,-0.097115+0.081471i,-17.94
39,-0.036572+0.1217i,-17.919
40,0.03633+0.12217i,-17.893
41,0.097639+0.082298i,-17.876
42,0.12707+0.01513i,-17.858
43,0.11472-0.057336i,-17.839
44,0.064388-0.11117i,-17.824
45,-0.0074047-0.1285i,-17.808
46,-0.077-0.10339i,-17.794
47,-0.1214-0.04396i,-17.781
48,-0.12571+0.030213i,-17.769
49,-0.088413+0.094564i,-17.757
50,-0.02164+0.12773i,-17.751
51,0.05241+0.11873i,-17.735
52,0.10934+0.070216i,-17.725
53,0.13004-0.001723i,-17.717
54,0.10761-0.073257i,-17.709
55,0.049391-0.12056i,-17.702
56,-0.025385-0.12791i,-17.694
57,-0.09185-0.092717i,-17.687
58,-0.12787-0.026625i,-17.681
59,-0.12138+0.048473i,-17.674
60,-0.074486+0.10752i,-17.668
61,-0.0027045+0.13085i,-17.663
62,0.070103+0.11064i,-17.656
63,0.11961+0.053508i,-17.652
64,0.12931-0.021509i,-17.649
65,0.095932-0.089437i,-17.644
66,0.030488-0.12762i,-17.64
67,-0.045182-0.12326i,-17.636
68,-0.10584-0.077742i,-17.633
69,-0.13121-0.0062516i,-17.631
70,-0.11278+0.067395i,-17.629
71,-0.056762+0.11856i,-17.625
72,0.01834+0.13019i,-17.623
73,0.087344+0.09833i,-17.62
74,0.12719+0.033574i,-17.619
75,0.12456-0.042387i,-17.617
76,0.080301-0.10427i,-17.614
77,0.0091554-0.1313i,-17.614
78,-0.065043-0.11445i,-17.612
79,-0.11756-0.059326i,-17.61
80,-0.13075+0.015675i,-17.609
82,-0.036123+0.12666i,-17.608
83,0.040026+0.12548i,-17.608
84,0.10283+0.082321i,-17.607
85,0.13121+0.011583i,-17.607
86,0.11568-0.063025i,-17.606
87,0.061433-0.11653i,-17.606
88,-0.013398-0.13102i,-17.608
90,-0.12607-0.038264i,-17.605
91,-0.12613+0.037959i,-17.607
92,-0.083963+0.1015i,-17.607
93,-0.013683+0.131i,-17.607
95,0.11553+0.063188i,-17.609
96,0.13117-0.011421i,-17.611
97,0.10287-0.082206i,-17.609
99,-0.036144-0.12657i,-17.613
100,-0.10024-0.085327i,-17.612
101,-0.13069-0.015495i,-17.615
103,-0.064679+0.11458i,-17.617
104,0.0096677+0.13119i,-17.619
105,0.080771+0.10383i,-17.619
107,0.12691-0.034498i,-17.621
108,0.086474-0.099024i,-17.624
110,-0.058006-0.11797i,-17.624
111,-0.11367-0.065968i,-17.626
113,-0.10468+0.079453i,-17.627
114,-0.043048+0.12416i,-17.627
116,0.09796+0.087522i,-17.631
118,0.11847-0.056681i,-17.633
119,0.067139-0.11283i,-17.635
121,-0.078224-0.10541i,-17.637
122,-0.12354-0.044319i,-17.638
124,-0.088446+0.09696i,-17.639
126,0.055443+0.11892i,-17.641
127,0.11207+0.068195i,-17.642
129,0.10607-0.077167i,-17.644
131,-0.03041-0.1276i,-17.643
133,-0.12947-0.020983i,-17.644
135,-0.069162+0.11142i,-17.645
136,0.0042899+0.13106i,-17.646
138,0.12264+0.046428i,-17.646
140,0.089976-0.095342i,-17.648
