Frequency (Hz), H(j), Amplitude Response (dB)
20,0.38814-0.073683i,-8.0664
21,0.28474-0.28065i,-7.9631
22,0.080494-0.39593i,-7.8718
23,-0.15614-0.37673i,-7.7909
24,-0.34323-0.22655i,-7.7177
25,-0.41432+0.0050921i,-7.6527
26,-0.34213+0.23862i,-7.5947
27,-0.1495+0.39213i,-7.5421
28,0.097889+0.41047i,-7.4941
29,0.31388+0.28519i,-7.4509
30,0.42196+0.058528i,-7.4119
31,0.38273-0.19111i,-7.3754
32,0.20837-0.37545i,-7.3428
33,-0.040852-0.42894i,-7.3128
34,-0.27749-0.3314i,-7.2856
35,-0.41764-0.11602i,-7.2611
36,-0.41088+0.1417i,-7.2376
37,-0.25851+0.35076i,-7.2157
38,-0.013634+0.43649i,-7.1962
39,0.23729+0.36769i,-7.1782
40,0.40502+0.16808i,-7.1604
41,0.42946-0.09233i,-7.1452
42,0.30116-0.32079i,-7.1308
43,0.065164-0.43584i,-7.1174
44,-0.19486-0.39598i,-7.1049
45,-0.38622-0.21478i,-7.093
46,-0.44035+0.043551i,-7.0818
47,-0.33742+0.28706i,-7.0718
48,-0.11367+0.42864i,-7.063
49,0.15119+0.41742i,-7.0533
50,0.36313+0.25722i,-7.0329
51,0.44476+0.0040878i,-7.0371
52,0.36786-0.25062i,-7.0305
53,0.15912-0.41612i,-7.023
54,-0.10697-0.43273i,-7.018
55,-0.33515-0.2944i,-7.0116
56,-0.44353-0.0503i,-7.006
57,-0.39304+0.21219i,-7.0005
58,-0.20147+0.3989i,-6.9961
59,0.06262+0.44274i,-6.991
60,0.30453+0.3277i,-6.987
61,0.43739+0.09485i,-6.9831
62,0.41324-0.17225i,-6.9801
63,0.2407-0.37774i,-6.9761
64,-0.018496-0.4477i,-6.9728
65,-0.27128-0.35678i,-6.9706
66,-0.42671-0.13758i,-6.9678
67,-0.42881+0.13128i,-6.9656
68,-0.27675+0.35308i,-6.9626
69,-0.025032+0.448i,-6.961
70,0.23586+0.3818i,-6.9593
71,0.41201+0.17824i,-6.9568
72,0.43993-0.089636i,-6.9557
73,0.30953-0.32531i,-6.9543
74,0.067622-0.44399i,-6.953
75,-0.19869-0.40283i,-6.9519
76,-0.39359-0.21657i,-6.9506
77,-0.44675+0.047732i,-6.9495
78,-0.33897+0.29491i,-6.9492
