Frequency (Hz), H(j), Amplitude Response (dB)
20,0.31151+0.037634i,-10.068
21,0.2849-0.13975i,-9.9697
22,0.16396-0.2754i,-9.8831
23,-0.013621-0.32308i,-9.806
24,-0.19-0.2648i,-9.7379
25,-0.30641-0.11774i,-9.6758
26,-0.32268+0.07062i,-9.6213
27,-0.23176+0.23804i,-9.5714
28,-0.062379+0.32806i,-9.5267
29,0.12967+0.30943i,-9.4861
30,0.28025+0.18704i,-9.4492
31,0.33824+0.00064283i,-9.4154
32,0.28305-0.18735i,-9.3847
33,0.13223-0.31381i,-9.3568
34,-0.064152-0.33547i,-9.331
35,-0.24016-0.24407i,-9.309
36,-0.33614-0.069823i,-9.2861
37,-0.31898+0.12906i,-9.2663
38,-0.19379+0.28521i,-9.2481
39,-0.0024313+0.34547i,-9.2316
40,0.19069+0.2889i,-9.2145
41,0.31967+0.13412i,-9.2019
42,0.34071-0.066772i,-9.1887
43,0.24607-0.24565i,-9.176
44,0.067477-0.34158i,-9.1639
45,-0.13464-0.32157i,-9.153
46,-0.29141-0.19201i,-9.144
47,-0.34934+0.0032406i,-9.1347
48,-0.28834+0.19787i,-9.126
49,-0.12889+0.32542i,-9.1183
50,0.074672+0.34223i,-9.1118
51,0.25343+0.24224i,-9.1043
52,0.34579+0.059345i,-9.0977
53,0.32016-0.14413i,-9.0913
54,0.18506-0.29861i,-9.0864
55,-0.013508-0.35123i,-9.0817
56,-0.2077-0.28381i,-9.0766
57,-0.33107-0.11918i,-9.0723
58,-0.34126+0.086405i,-9.0685
59,-0.23465+0.26263i,-9.0645
60,-0.047522+0.34909i,-9.0616
61,0.15602+0.31606i,-9.0576
62,0.30629+0.17467i,-9.0544
63,0.35168-0.026686i,-9.0521
64,0.27656-0.21901i,-9.05
65,0.10654-0.3364i,-9.0478
66,-0.10011-0.33845i,-9.0458
67,-0.27254-0.22438i,-9.0439
68,-0.35151-0.033277i,-9.0426
69,-0.30989+0.16935i,-9.0409
70,-0.16187+0.31388i,-9.0404
71,0.041733+0.35077i,-9.0385
72,0.23114+0.26716i,-9.0379
73,0.34115+0.091793i,-9.0374
74,0.33403-0.11516i,-9.0366
75,0.21215-0.28258i,-9.0358
76,0.017333-0.35294i,-9.0355
77,-0.18349-0.30201i,-9.0352
78,-0.32122-0.14727i,-9.0355
79,-0.34857+0.058115i,-9.0352
80,-0.25603+0.24355i,-9.0356
82,0.13099+0.32814i,-9.0366
83,0.29244+0.19826i,-9.037
84,0.3533+0.00018316i,-9.037
85,0.29258-0.19796i,-9.0381
86,0.13123-0.32794i,-9.039
87,-0.075237-0.34508i,-9.0399
88,-0.2558-0.24346i,-9.0412
90,-0.32091+0.14726i,-9.0424
91,-0.18304+0.30184i,-9.0444
92,0.017819+0.35251i,-9.0455
93,0.21242+0.28179i,-9.0473
95,0.34035-0.092837i,-9.0499
96,0.22958-0.26773i,-9.0521
97,0.039833-0.3504i,-9.053
99,-0.31059-0.1667i,-9.0568
100,-0.35054+0.036276i,-9.0589
101,-0.26974+0.22667i,-9.0608
103,0.11064+0.33435i,-9.0648
104,0.27913+0.2146i,-9.067
105,0.35138+0.020946i,-9.069
107,0.14944-0.31852i,-9.0733
108,-0.055038-0.34739i,-9.076
110,-0.34295-0.077363i,-9.0798
111,-0.32716+0.12843i,-9.0824
113,-0.0017006+0.35129i,-9.0866
114,0.19573+0.2916i,-9.089
116,0.3431-0.073977i,-9.0942
118,0.058105-0.34593i,-9.0994
119,-0.14605-0.3188i,-9.1023
121,-0.35002+0.017823i,-9.107
122,-0.27955+0.21118i,-9.11
124,0.092878+0.33762i,-9.1146
126,0.3478+0.03847i,-9.1207
127,0.30929-0.1634i,-9.1237
129,-0.037537-0.34757i,-9.1287
131,-0.33664-0.093482i,-9.1342
133,-0.21108+0.27814i,-9.1394
135,0.18038+0.29868i,-9.1453
136,0.31687+0.14578i,-9.1486
138,0.25232-0.24048i,-9.1542
140,-0.13022-0.32304i,-9.161
142,-0.34809+0.0017675i,-9.166
144,-0.12675+0.32389i,-9.1731
146,0.25403+0.23721i,-9.1793
148,0.31397-0.14848i,-9.1858
150,-0.022109-0.34632i,-9.1927
152,-0.32982-0.10716i,-9.1987
154,-0.22108+0.26678i,-9.2064
156,0.16626+0.30365i,-9.2136
158,0.34329-0.042494i,-9.2208
160,0.087032-0.33442i,-9.2295
163,-0.34487-0.012366i,-9.2412
165,-0.13854+0.31572i,-9.2492
167,0.24215+0.24498i,-9.2572
169,0.3167-0.13462i,-9.2658
172,-0.19985-0.27948i,-9.2795
174,-0.33312+0.082633i,-9.2887
176,-0.045993+0.33978i,-9.2971
179,0.34112-0.02887i,-9.311
181,0.098808-0.32739i,-9.3202
184,-0.34047-0.025296i,-9.3345
186,-0.14889+0.30685i,-9.3433
189,0.33135+0.07854i,-9.3569
191,0.19492-0.27879i,-9.366
194,-0.31401-0.12942i,-9.3798
196,-0.2358+0.24394i,-9.389
199,0.28895+0.17681i,-9.4022
202,0.10954-0.31998i,-9.4162
205,-0.33562-0.037169i,-9.4302
207,-0.158+0.29798i,-9.4404
210,0.32469+0.089177i,-9.4549
213,0.016312-0.33574i,-9.4697
216,-0.33064+0.057151i,-9.4851
219,0.12759+0.30964i,-9.5019
222,0.27386-0.19162i,-9.5188
225,-0.2462-0.22512i,-9.5353
228,-0.16571+0.28879i,-9.5522
231,0.31732+0.09863i,-9.5695
234,0.027031-0.33055i,-9.5862
237,-0.32787+0.045564i,-9.6029
241,0.26949+0.19081i,-9.6244
244,0.12721-0.30403i,-9.6411
247,-0.32386-0.057716i,-9.657
251,0.1961+0.26304i,-9.6801
254,0.21348-0.24828i,-9.6973
257,-0.28829-0.15378i,-9.7159
261,0.10469+0.30856i,-9.7401
264,0.27765-0.16916i,-9.7589
268,-0.31733-0.066456i,-9.7834
272,0.18532+0.26484i,-9.8096
275,0.2175-0.23817i,-9.8285
279,-0.32068+0.024776i,-9.8528
283,0.25009+0.20078i,-9.8776
287,-0.044915-0.31665i,-9.9019
291,-0.18329+0.26093i,-9.9277
295,0.31127-0.064785i,-9.953
299,-0.27054-0.16513i,-9.9802
303,0.084104+0.30451i,-10.009
307,0.14647-0.27881i,-10.035
311,-0.29663+0.10289i,-10.062
315,0.28588+0.12741i,-10.089
320,-0.26166-0.16963i,-10.121
324,0.074728+0.30175i,-10.149
328,0.15129-0.27044i,-10.176
333,-0.19057+0.24272i,-10.212
337,0.30401-0.046663i,-10.241
342,-0.3063-0.0010276i,-10.277
347,0.30122+0.048258i,-10.312
351,-0.18628-0.24038i,-10.34
356,0.14629+0.26517i,-10.376
361,-0.10311-0.28337i,-10.413
366,0.057799+0.29461i,-10.451
371,-0.011506-0.29876i,-10.487
376,-0.034624+0.29571i,-10.524
381,0.0795-0.28563i,-10.56
386,-0.12204+0.26881i,-10.597
391,0.16131-0.24568i,-10.636
397,-0.040375+0.28956i,-10.682
402,0.084165-0.2787i,-10.718
408,0.043206+0.28638i,-10.763
413,0.0013321-0.28833i,-10.802
419,0.1217+0.25966i,-10.85
424,-0.079952-0.27411i,-10.887
430,0.18881+0.21221i,-10.932
436,-0.26018-0.11007i,-10.98
442,0.2807-0.012111i,-11.027
448,-0.24704+0.13067i,-11.073
454,0.16614-0.22288i,-11.119
460,-0.054039+0.27115i,-11.167
467,-0.20537-0.18243i,-11.223
473,0.26244+0.076153i,-11.268
479,-0.26822+0.043773i,-11.316
486,0.096972-0.252i,-11.372
493,0.16758+0.2096i,-11.426
499,-0.24012-0.11654i,-11.473
506,0.22031-0.14758i,-11.53
513,0.016221+0.26304i,-11.583
520,-0.23389-0.11781i,-11.638
527,0.21825-0.14167i,-11.694
534,0.012284+0.25832i,-11.747
541,-0.22787-0.11872i,-11.803
549,0.10184-0.23392i,-11.865
556,0.1499+0.20448i,-11.919
564,-0.19209+0.16264i,-11.983
571,-0.043569-0.24638i,-12.034
579,0.24095-0.060398i,-12.097
587,0.076698+0.23447i,-12.157
595,-0.22682+0.092458i,-12.219
603,-0.10754-0.2182i,-12.279
611,0.20855-0.12192i,-12.339
620,0.22328+0.087297i,-12.405
628,-0.070653+0.22734i,-12.466
637,-0.22048+0.085026i,-12.53
645,-0.099944-0.21236i,-12.59
654,0.10367-0.20867i,-12.653
663,0.22623-0.047967i,-12.718
672,0.17685+0.14643i,-12.781
681,-0.0048731+0.22787i,-12.844
691,-0.071894+0.21439i,-12.913
700,-0.2112+0.076404i,-12.972
709,-0.18979-0.11712i,-13.033
719,-0.14532-0.16694i,-13.099
729,-0.088578-0.20107i,-13.163
739,-0.024706-0.2167i,-13.227
749,0.040416-0.21273i,-13.289
759,0.10093-0.18985i,-13.351
769,0.15162-0.15042i,-13.409
780,0.10012-0.18687i,-13.473
790,0.14995-0.14783i,-13.532
801,0.09924-0.18403i,-13.593
812,0.040526-0.20369i,-13.652
823,-0.02097-0.20522i,-13.711
834,-0.079859-0.18875i,-13.767
846,-0.19597-0.055026i,-13.827
857,-0.20226+0.0050249i,-13.879
869,-0.12146+0.1602i,-13.934
881,0.049179+0.19366i,-13.988
893,0.18094+0.081869i,-14.04
905,0.17585-0.089906i,-14.088
917,0.039133-0.19251i,-14.135
930,-0.18799-0.053074i,-14.184
942,-0.15792+0.11335i,-14.227
955,0.10079+0.16508i,-14.27
968,0.1713-0.087824i,-14.311
981,-0.074515-0.17655i,-14.351
995,-0.11507+0.15219i,-14.389
1008,0.14269+0.12553i,-14.423
1022,0.037135-0.18561i,-14.457
1036,-0.17867+0.060581i,-14.486
1050,0.14138+0.12394i,-14.516
1064,0.036417-0.18392i,-14.54
1079,-0.11219+0.14955i,-14.565
1093,0.18522+0.022209i,-14.584
1108,-0.15693-0.10008i,-14.604
1123,0.09789+0.15789i,-14.62
1139,-0.12019-0.14127i,-14.634
1154,0.047022+0.17918i,-14.645
1170,-0.073164-0.17001i,-14.653
1186,0.09765+0.15706i,-14.659
1202,-0.11991-0.1407i,-14.663
