Frequency (Hz), H(j), Amplitude Response (dB)
20,0.49104+0.049674i,-6.1334
21,0.44501-0.22798i,-6.0204
22,0.25193-0.43852i,-5.9215
23,-0.028487-0.51014i,-5.8326
24,-0.30546-0.41541i,-5.7533
25,-0.4871-0.18178i,-5.6814
26,-0.51075+0.11601i,-5.6174
27,-0.36554+0.37998i,-5.5595
28,-0.096917+0.52153i,-5.5069
29,0.20734+0.49145i,-5.459
30,0.44607+0.29731i,-5.4155
31,0.53853+0.0016626i,-5.3758
32,0.45183-0.29718i,-5.3392
33,0.21309-0.49931i,-5.3059
34,-0.098995-0.53573i,-5.2753
35,-0.38021-0.3926i,-5.2477
36,-0.53564-0.1166i,-5.2215
37,-0.51184+0.20043i,-5.1977
38,-0.31554+0.4518i,-5.1756
39,-0.011769+0.55224i,-5.1555
40,0.2975+0.4669i,-5.1356
41,0.50774+0.22345i,-5.1183
42,0.54734-0.096579i,-5.1017
43,0.40194-0.38527i,-5.0866
44,0.11996-0.54462i,-5.0724
45,-0.20368-0.52011i,-5.0584
46,-0.45936-0.31918i,-5.0462
47,-0.56005-0.0093976i,-5.0343
48,-0.47094+0.3045i,-5.0237
49,-0.22176+0.51583i,-5.0134
50,0.1033+0.55208i,-5.0105
51,0.39426+0.40146i,-4.9947
52,0.55165+0.11354i,-4.9865
53,0.52171-0.21361i,-4.9784
54,0.31412-0.46869i,-4.9711
55,-0.00076239-0.56466i,-4.9643
56,-0.31599-0.46849i,-4.9575
57,-0.52404-0.2125i,-4.9515
58,-0.55376+0.11626i,-4.9462
59,-0.39475+0.40595i,-4.9402
60,-0.10085+0.55755i,-4.9344
61,0.2279+0.51909i,-4.9296
62,0.47922+0.30339i,-4.9254
63,0.56727-0.016084i,-4.9208
64,0.46168-0.33042i,-4.917
65,0.19831-0.53223i,-4.9134
66,-0.13308-0.55239i,-4.9101
67,-0.41929-0.38379i,-4.9067
68,-0.56242-0.083878i,-4.9032
69,-0.51337+0.24497i,-4.9004
70,-0.2887+0.49027i,-4.8985
71,0.034762+0.56809i,-4.8955
72,0.34663+0.4516i,-4.8933
73,0.54007+0.18055i,-4.8908
74,0.54878-0.15248i,-4.889
75,0.36972-0.43346i,-4.8867
76,0.063922-0.56625i,-4.8849
77,-0.26388-0.5052i,-4.8831
78,-0.50144-0.27113i,-4.8817
79,-0.56741+0.055912i,-4.8801
80,-0.43902+0.36391i,-4.8789
82,0.17366+0.54328i,-4.877
83,0.44801+0.35307i,-4.8762
84,0.56897+0.041805i,-4.8749
85,0.49487-0.28385i,-4.8749
86,0.25113-0.5123i,-4.8743
87,-0.07866-0.56516i,-4.8733
88,-0.38163-0.42421i,-4.8732
90,-0.53604+0.19589i,-4.8716
91,-0.33439+0.46241i,-4.8726
92,-0.018084+0.57041i,-4.8719
93,0.30442+0.48271i,-4.872
95,0.56137-0.10257i,-4.8724
96,0.40762-0.3994i,-4.8722
97,0.11398-0.55917i,-4.8723
99,-0.47644-0.31402i,-4.8731
100,-0.57056+0.0067552i,-4.8734
101,-0.46884+0.32513i,-4.8742
103,0.12719+0.55612i,-4.8752
104,0.41684+0.38939i,-4.8761
105,0.56344+0.088965i,-4.8761
107,0.29223-0.48975i,-4.8777
108,-0.032326-0.56933i,-4.8788
110,-0.54043-0.18181i,-4.8796
111,-0.54943+0.15223i,-4.8806
113,-0.063058+0.56651i,-4.8823
114,0.26523+0.50453i,-4.8825
116,0.56682-0.058576i,-4.885
118,0.15636-0.54783i,-4.887
119,-0.17748-0.5413i,-4.8878
121,-0.56833-0.036497i,-4.8901
122,-0.49108+0.28828i,-4.891
124,0.085114+0.56293i,-4.8928
126,0.5541+0.13015i,-4.895
127,0.53172-0.20278i,-4.8967
129,0.0093201-0.56888i,-4.8984
131,-0.52458-0.21998i,-4.9002
133,-0.399+0.40522i,-4.9026
135,0.22799+0.52081i,-4.905
136,0.4807+0.30341i,-4.9063
138,0.46007-0.33358i,-4.9088
140,-0.13886-0.55086i,-4.9116
142,-0.56292-0.075548i,-4.9136
144,-0.27901+0.49447i,-4.9168
146,0.35544+0.44251i,-4.9194
148,0.54262-0.16579i,-4.9225
150,0.0474-0.56525i,-4.9248
152,-0.50712-0.25367i,-4.928
154,-0.42352+0.37665i,-4.9318
156,0.19255+0.53284i,-4.935
158,0.56601+0.018845i,-4.9387
160,0.22732-0.51838i,-4.9431
163,-0.5546-0.11119i,-4.9492
165,-0.30882+0.47358i,-4.9533
167,0.32516+0.46222i,-4.957
169,0.54953-0.13048i,-4.962
172,-0.24475-0.50849i,-4.9694
174,-0.56269+0.038692i,-4.9741
176,-0.17264+0.53663i,-4.9789
179,0.56066+0.05381i,-4.9862
181,0.25769-0.50049i,-4.9909
184,-0.5435-0.14452i,-4.9993
186,-0.33558+0.45094i,-5.0036
189,0.51191+0.23114i,-5.0104
191,0.4042-0.38954i,-5.0152
194,-0.46667-0.31117i,-5.0222
196,-0.46172+0.31788i,-5.0274
199,0.40914+0.38265i,-5.0332
202,0.28589-0.48121i,-5.0404
205,-0.53086-0.17595i,-5.0477
207,-0.35993+0.42762i,-5.0528
210,0.49438+0.25965i,-5.0608
213,0.14748-0.53807i,-5.0686
216,-0.55666-0.028582i,-5.0767
219,0.091372+0.54927i,-5.0858
222,0.51631-0.20685i,-5.0953
225,-0.31244-0.45946i,-5.1044
228,-0.38133+0.40327i,-5.1139
231,0.47514+0.28568i,-5.1233
234,0.17691-0.52482i,-5.1323
237,-0.54999-0.060158i,-5.1412
241,0.35721+0.42156i,-5.1526
244,0.33475-0.43888i,-5.1617
247,-0.50004-0.2325i,-5.1699
251,0.20269+0.51202i,-5.182
254,0.45606-0.30759i,-5.1913
257,-0.39795-0.37888i,-5.2012
261,0.028224+0.54789i,-5.2146
264,0.5284-0.14506i,-5.2252
268,-0.48255-0.25775i,-5.239
272,0.17262+0.51817i,-5.2535
275,0.46841-0.27956i,-5.2642
279,-0.53151-0.11909i,-5.2771
283,0.30344+0.45133i,-5.2904
287,0.089973-0.53553i,-5.3034
291,-0.43289+0.3264i,-5.3175
295,0.53789+0.060556i,-5.3314
299,-0.34831-0.41311i,-5.3465
303,-0.031147+0.53843i,-5.3629
307,0.39217-0.36886i,-5.3782
311,-0.53746-0.0018627i,-5.393
315,0.38832+0.37032i,-5.4072
320,-0.32275-0.42731i,-5.4248
324,-0.059273+0.53128i,-5.4398
328,0.40755-0.34449i,-5.4551
333,-0.45674+0.27358i,-5.4752
337,0.51875+0.11511i,-5.4922
342,-0.4922-0.19689i,-5.5125
347,0.45299+0.27312i,-5.5317
351,-0.14101-0.50886i,-5.5467
356,0.057072+0.52371i,-5.5668
361,0.027985-0.52477i,-5.5883
366,-0.1119+0.5121i,-5.6104
371,0.19256-0.48621i,-5.6308
376,-0.26774+0.4478i,-5.6509
381,0.33554-0.39796i,-5.671
386,-0.39419+0.33799i,-5.6923
391,0.44231-0.26943i,-5.7149
397,-0.28706+0.4292i,-5.7411
402,0.35158-0.37651i,-5.7614
408,-0.15984+0.48812i,-5.787
413,0.23557-0.45492i,-5.8095
419,-0.022123+0.51017i,-5.8375
424,0.10363-0.49877i,-5.8584
430,0.11576+0.49455i,-5.8841
436,-0.31232-0.39848i,-5.912
442,0.44965+0.22912i,-5.9401
448,-0.50277-0.018396i,-5.9668
454,0.46228-0.19458i,-5.9935
460,-0.33613+0.37011i,-6.0212
467,-0.14414-0.47673i,-6.0546
473,0.33062+0.37047i,-6.0808
479,-0.45451-0.19589i,-6.1092
486,0.40002-0.28814i,-6.1432
493,0.041565+0.48947i,-6.1744
499,-0.24332-0.42488i,-6.2028
506,0.48759+0.0094323i,-6.2372
513,-0.25759+0.41198i,-6.2693
520,-0.22053-0.43091i,-6.3019
527,0.48108+0.031937i,-6.3366
534,-0.27339+0.39496i,-6.3689
541,-0.1979-0.43556i,-6.4039
549,0.42175-0.22144i,-6.4416
556,-0.026232+0.47377i,-6.4754
564,-0.47231+0.00087981i,-6.5155
571,0.24074-0.40434i,-6.5474
579,0.41563+0.21609i,-6.5868
587,-0.19103+0.4255i,-6.6245
595,-0.43379-0.16539i,-6.665
603,0.13953-0.44064i,-6.7033
611,0.44593+0.11331i,-6.7429
620,0.18044+0.42075i,-6.7863
628,-0.40772+0.20354i,-6.8263
637,-0.40759-0.19872i,-6.8694
645,0.17391-0.41651i,-6.9095
654,0.43416-0.11496i,-6.9527
663,0.35367+0.27306i,-6.9973
672,-0.0012747+0.44458i,-7.0409
681,-0.35168+0.26825i,-7.0856
691,-0.41579+0.14328i,-7.1351
700,-0.36506-0.24138i,-7.1776
709,-0.030716-0.43431i,-7.2224
719,0.10664-0.41962i,-7.2711
729,0.2317-0.36292i,-7.319
739,0.33206-0.27026i,-7.3683
749,0.39785-0.15147i,-7.4178
759,0.42294-0.018902i,-7.4658
769,0.4053+0.11412i,-7.5132
