Frequency (Hz), H(j), Amplitude Response (dB)
20,0.14756+0.038732i,-16.331
21,0.1472-0.046989i,-16.22
22,0.10002-0.12009i,-16.122
23,0.019829-0.15662i,-16.034
24,-0.068413-0.14389i,-15.954
25,-0.13643-0.084762i,-15.884
26,-0.16182+0.0025723i,-15.818
27,-0.13548+0.09045i,-15.762
28,-0.065043+0.15041i,-15.71
29,0.027298+0.16251i,-15.661
30,0.11191+0.12211i,-15.617
31,0.161+0.041678i,-15.582
32,0.15837-0.053074i,-15.544
33,0.10415-0.13142i,-15.51
34,0.015526-0.16752i,-15.481
35,-0.078786-0.14926i,-15.454
36,-0.14804-0.082109i,-15.427
37,-0.16926+0.012335i,-15.406
38,-0.13521+0.10326i,-15.384
39,-0.056682+0.16084i,-15.364
40,0.040843+0.16604i,-15.341
41,0.12541+0.11656i,-15.33
42,0.16909+0.028641i,-15.315
43,0.15735-0.068991i,-15.299
44,0.093771-0.14429i,-15.285
45,-0.00092645-0.17231i,-15.274
46,-0.09557-0.14363i,-15.263
47,-0.15903-0.067505i,-15.251
48,-0.17013+0.031118i,-15.242
49,-0.12509+0.1197i,-15.232
50,-0.038384+0.16944i,-15.202
51,0.060816+0.16246i,-15.216
52,0.14033+0.10223i,-15.208
53,0.17355+0.0080484i,-15.202
54,0.14938-0.088934i,-15.197
55,0.075714-0.15664i,-15.19
56,-0.02316-0.17256i,-15.184
57,-0.1145-0.13127i,-15.18
58,-0.168-0.046467i,-15.174
59,-0.16584+0.05392i,-15.17
60,-0.10861+0.13648i,-15.168
61,-0.015344+0.17383i,-15.164
62,0.083136+0.15353i,-15.159
63,0.15408+0.082211i,-15.157
64,0.1739-0.016487i,-15.155
65,0.13598-0.10976i,-15.152
66,0.052822-0.16663i,-15.149
67,-0.047949-0.16812i,-15.148
68,-0.13283-0.11373i,-15.146
69,-0.17356-0.021452i,-15.145
70,-0.15659+0.07796i,-15.143
71,-0.08749+0.1515i,-15.142
72,0.010737+0.17465i,-15.14
73,0.10542+0.13967i,-15.14
74,0.16507+0.058161i,-15.138
75,0.16973-0.042707i,-15.138
76,0.11786-0.12939i,-15.138
77,0.026742-0.17298i,-15.138
78,-0.073312-0.15894i,-15.138
79,-0.14894-0.091954i,-15.137
80,-0.175+0.0056887i,-15.135
82,-0.062772+0.16337i,-15.138
83,0.038015+0.17084i,-15.138
84,0.12611+0.12129i,-15.141
85,0.17216+0.031354i,-15.139
86,0.16076-0.06907i,-15.141
87,0.095739-0.14643i,-15.142
88,-0.0012067-0.17491i,-15.143
90,-0.16164-0.066774i,-15.145
91,-0.17158+0.03376i,-15.146
92,-0.12423+0.12302i,-15.147
93,-0.035423+0.17118i,-15.149
95,0.14397+0.099023i,-15.152
96,0.1747+0.0028277i,-15.153
97,0.14708-0.094274i,-15.154
99,-0.029877-0.17202i,-15.159
100,-0.12007-0.12675i,-15.16
101,-0.17008-0.039121i,-15.163
103,-0.10193+0.14161i,-15.165
104,-0.006517+0.1743i,-15.168
105,0.091013+0.14875i,-15.17
107,0.17228-0.026297i,-15.175
108,0.1289-0.11723i,-15.177
110,-0.058151-0.16413i,-15.183
111,-0.13927-0.10446i,-15.185
113,-0.15011+0.087929i,-15.191
114,-0.076322+0.15628i,-15.193
116,0.11452+0.13074i,-15.199
118,0.16477-0.05499i,-15.204
119,0.10671-0.13698i,-15.207
121,-0.085011-0.15125i,-15.214
122,-0.15448-0.078828i,-15.218
124,-0.13235+0.11192i,-15.223
126,0.052004+0.1652i,-15.23
127,0.13472+0.10871i,-15.234
129,0.15219-0.082196i,-15.241
131,-0.017004-0.17198i,-15.248
133,-0.16505-0.050731i,-15.255
135,-0.11048+0.13253i,-15.262
136,-0.018526+0.17146i,-15.267
138,0.15084+0.08326i,-15.275
140,0.13489-0.1069i,-15.284
142,-0.046468-0.16556i,-15.291
144,-0.1705-0.021045i,-15.3
146,-0.085144+0.14902i,-15.308
148,0.10452+0.13595i,-15.316
150,0.16559-0.04389i,-15.324
152,0.023405-0.16951i,-15.334
154,-0.14722-0.086899i,-15.342
156,-0.13684+0.10216i,-15.352
158,0.041411+0.1655i,-15.36
160,0.16848+0.025601i,-15.37
163,-0.0068738-0.17i,-15.384
165,-0.15935-0.059157i,-15.392
167,-0.11592+0.12408i,-15.401
169,0.069713+0.15464i,-15.41
172,0.13831-0.097737i,-15.424
174,-0.036825-0.16513i,-15.433
176,-0.16638-0.02964i,-15.442
179,0.0026278+0.16871i,-15.456
181,0.15652+0.06252i,-15.466
184,0.031461-0.16535i,-15.478
186,-0.1403-0.092626i,-15.488
189,-0.063986+0.15514i,-15.503
191,0.11837+0.1187i,-15.513
194,0.093713-0.13864i,-15.528
196,-0.09176-0.13973i,-15.537
199,-0.11938+0.11656i,-15.554
202,0.137+0.094709i,-15.569
205,0.066608-0.15233i,-15.584
207,-0.11483-0.11997i,-15.594
210,-0.095608+0.13541i,-15.61
213,0.15097+0.06779i,-15.625
216,0.037534-0.16087i,-15.64
219,-0.16478-0.0059921i,-15.656
222,0.025657+0.16261i,-15.67
225,0.15439-0.056281i,-15.686
228,-0.084727-0.14049i,-15.7
231,-0.12141+0.10993i,-15.714
234,0.131+0.097832i,-15.73
237,0.070761-0.14711i,-15.743
241,-0.15389+0.053273i,-15.764
244,0.081736+0.14052i,-15.779
247,0.12197-0.10703i,-15.795
251,-0.16151-0.011142i,-15.815
254,0.020122+0.16035i,-15.831
257,0.15325-0.050519i,-15.844
261,-0.14351-0.072984i,-15.863
264,-0.043905+0.15464i,-15.877
268,0.14035-0.077714i,-15.894
272,-0.15373-0.044685i,-15.912
275,-0.014188+0.15922i,-15.926
279,0.12266-0.102i,-15.943
283,-0.1585-0.014991i,-15.961
287,0.10093+0.12271i,-15.978
291,0.015788-0.1578i,-15.995
295,-0.12275+0.099895i,-16.013
299,0.15711+0.016521i,-16.028
303,-0.098935-0.12283i,-16.042
307,-0.017227+0.15652i,-16.056
311,0.12286-0.098086i,-16.07
315,-0.15595-0.017788i,-16.084
320,0.14909+0.048173i,-16.1
324,-0.070999-0.1394i,-16.113
328,-0.048579+0.14848i,-16.125
333,0.076802-0.13577i,-16.138
337,-0.15022+0.041387i,-16.148
342,0.15522-0.010987i,-16.159
347,-0.15416-0.019765i,-16.17
351,0.094782+0.12299i,-16.178
356,-0.068612-0.13907i,-16.189
361,0.039897+0.14973i,-16.196
366,-0.0096702-0.15456i,-16.201
371,-0.02083+0.15336i,-16.206
376,0.050519-0.14621i,-16.211
381,-0.078212+0.13339i,-16.214
386,0.10286-0.1154i,-16.216
391,-0.12352+0.092986i,-16.215
397,0.078718-0.13314i,-16.212
402,-0.1033+0.11516i,-16.21
408,0.051566-0.14592i,-16.207
413,-0.079226+0.13305i,-16.202
419,0.022478-0.1534i,-16.191
424,-0.05213+0.14617i,-16.183
430,-0.007622-0.15519i,-16.172
436,0.06637+0.14076i,-16.159
442,-0.11531-0.10498i,-16.141
448,0.14696+0.053093i,-16.123
454,-0.15644+0.0070558i,-16.104
460,0.14227-0.066369i,-16.083
467,-0.024119+0.15567i,-16.053
473,-0.037242-0.15352i,-16.028
479,0.093282+0.12811i,-16.001
486,-0.159+0.0061918i,-15.965
493,0.083728-0.1361i,-15.929
499,-0.025587+0.15832i,-15.897
506,-0.11778-0.10999i,-15.855
513,0.15775-0.036737i,-15.811
520,-0.057689+0.15222i,-15.768
527,-0.094756-0.13348i,-15.719
534,0.16457-0.0043062i,-15.67
541,-0.088724+0.13981i,-15.619
549,-0.14057-0.089772i,-15.557
556,0.15385-0.067002i,-15.504
564,0.066971+0.15527i,-15.437
571,-0.16734-0.031277i,-15.379
579,0.032191-0.16852i,-15.311
587,0.16978+0.033099i,-15.24
595,-0.034177+0.171i,-15.17
603,-0.17231-0.035241i,-15.096
611,0.036375-0.17362i,-15.022
620,0.16659-0.065943i,-14.935
628,0.06557+0.16844i,-14.858
637,-0.10564+0.14898i,-14.768
645,-0.14968-0.10747i,-14.691
654,0.0075243-0.18602i,-14.602
663,0.16127-0.096922i,-14.51
672,0.17134+0.082411i,-14.419
681,0.025443+0.1905i,-14.325
691,-0.051693+0.1875i,-14.222
700,-0.18715+0.060276i,-14.128
709,-0.15464-0.12482i,-14.035
719,-0.094439-0.17756i,-13.931
729,-0.017413-0.20279i,-13.827
739,0.064411-0.19568i,-13.722
749,0.13781-0.15647i,-13.618
759,0.19049-0.090766i,-13.514
769,0.21335-0.0085651i,-13.411
780,0.21099-0.047879i,-13.297
790,0.21533+0.039675i,-13.193
801,0.22178-3.1955e-05i,-13.081
812,0.22094-0.040678i,-12.97
823,0.21265-0.080952i,-12.859
834,0.19704-0.11946i,-12.75
846,0.059406-0.22595i,-12.63
857,0.018019-0.23586i,-12.522
869,-0.15294-0.18461i,-12.406
881,-0.24144-0.02696i,-12.29
893,-0.19507+0.15019i,-12.175
905,-0.036619+0.2467i,-12.062
917,0.14672+0.20565i,-11.951
930,0.23558-0.10042i,-11.832
942,0.10136-0.23874i,-11.722
955,-0.21416-0.15238i,-11.606
968,-0.1976+0.17854i,-11.492
981,0.13338+0.23452i,-11.379
995,0.17288-0.21202i,-11.259
1008,-0.17169-0.21739i,-11.15
1022,-0.14275+0.24177i,-11.033
1036,0.28062+0.046572i,-10.92
1050,-0.058379-0.28217i,-10.808
1064,-0.24531+0.15809i,-10.697
1079,0.29548+0.01268i,-10.581
1093,-0.095633-0.28373i,-10.475
1108,-0.08689+0.29058i,-10.363
1123,0.24183-0.18933i,-10.254
1139,-0.25051+0.18477i,-10.137
1154,0.31497-0.0060643i,-10.033
1170,-0.31911-0.0031635i,-9.9207
1186,0.32286+0.012671i,-9.8129
1202,-0.32635-0.022461i,-9.7059
1218,0.32945+0.032462i,-9.6023
1235,-0.30051+0.14854i,-9.4935
1252,0.17866-0.28855i,-9.3861
1269,0.00096654+0.34349i,-9.2816
1286,-0.18461-0.29445i,-9.1801
1304,0.34865-0.046752i,-9.0749
1321,-0.27437+0.22646i,-8.9771
1339,-0.093655-0.34754i,-8.8754
1357,0.35917+0.059352i,-8.7771
1376,-0.0013743+0.36835i,-8.6748
1395,-0.36809+0.05799i,-8.5745
1414,-0.11715-0.35816i,-8.477
1433,0.33864-0.17458i,-8.3817
1452,0.22867+0.30989i,-8.2878
1472,-0.072916+0.38254i,-8.1914
1492,-0.33382+0.20857i,-8.0984
1513,-0.37762+0.12575i,-8.0021
1533,-0.35239-0.19378i,-7.9121
1554,-0.30016-0.27403i,-7.8202
1575,-0.22973-0.34036i,-7.731
1597,-0.33596-0.24354i,-7.6402
1618,-0.27201-0.31875i,-7.555
1640,-0.36847-0.20836i,-7.467
1663,-0.39007+0.17529i,-7.3784
1685,-0.30931+0.30125i,-7.2949
1708,0.060062+0.43183i,-7.2106
1731,0.38716+0.20937i,-7.1281
1755,0.22947-0.38057i,-7.0446
1779,-0.37287-0.24936i,-6.9635
1803,-0.26903+0.36408i,-6.884
1828,0.45481+0.043866i,-6.8032
1853,-0.19808-0.41636i,-6.7245
1878,-0.25745+0.38741i,-6.6481
1903,0.46869+0.021723i,-6.573
1929,-0.41768-0.22265i,-6.497
1955,0.28414+0.38349i,-6.4245
1982,-0.33899-0.3418i,-6.35
2009,0.38765+0.29214i,-6.2779
2036,-0.42898-0.23553i,-6.2071
2064,0.48055-0.11186i,-6.136
2092,-0.28538+0.4073i,-6.0672
2121,-0.32559-0.38121i,-5.9975
2150,0.45401-0.22164i,-5.9304
2179,0.10185+0.49878i,-5.8645
2208,-0.51212-0.026212i,-5.8011
2238,-0.14445-0.49603i,-5.7364
2269,0.18619-0.48604i,-5.6718
2300,0.44531-0.27663i,-5.6094
2331,0.52559+0.049109i,-5.5494
2363,0.52525+0.082095i,-5.4879
2395,0.52277+0.11514i,-5.428
2428,0.5135-0.16367i,-5.369
2461,0.36454-0.40177i,-5.312
2494,0.11457-0.53387i,-5.2558
2528,-0.43091-0.341i,-5.2004
2562,-0.49946+0.23714i,-5.1471
2597,0.30136+0.46773i,-5.0921
2633,0.15587-0.53778i,-5.0376
2669,-0.51091+0.23704i,-4.9864
2705,0.51729+0.23103i,-4.9354
2742,-0.44052-0.36143i,-4.8853
2779,0.33138+0.46751i,-4.8362
2817,-0.46429-0.34132i,-4.7877
2855,0.55118+0.17868i,-4.7401
2894,-0.48284+0.32601i,-4.6927
2933,0.040625-0.58424i,-4.6472
2973,0.58246+0.085248i,-4.6027
