Frequency (Hz), H(j), Amplitude Response (dB)
20,0.19155-0.0048192i,-14.351
21,0.15944-0.11074i,-14.239
22,0.072742-0.18234i,-14.141
23,-0.040477-0.19414i,-14.053
24,-0.14242-0.1406i,-13.974
25,-0.19819-0.038352i,-13.899
26,-0.18744+0.078652i,-13.839
27,-0.11286+0.17061i,-13.783
28,0.00116+0.20581i,-13.73
29,0.11618+0.17122i,-13.684
30,0.19283+0.077804i,-13.642
31,0.20436-0.043651i,-13.598
32,0.14578-0.15085i,-13.565
33,0.036717-0.20735i,-13.532
34,-0.085886-0.19307i,-13.502
35,-0.17979-0.11216i,-13.477
36,-0.21241+0.0078793i,-13.451
37,-0.17193+0.12603i,-13.425
38,-0.071778+0.20127i,-13.404
39,0.053679+0.20728i,-13.387
40,0.16132+0.14173i,-13.362
41,0.21335+0.026721i,-13.35
42,0.19179-0.098024i,-13.336
43,0.10366-0.18927i,-13.319
44,-0.020802-0.21506i,-13.308
45,-0.1384-0.16636i,-13.295
46,-0.20828-0.059699i,-13.284
47,-0.20604+0.06807i,-13.271
48,-0.13201+0.17253i,-13.261
49,-0.011958+0.21714i,-13.252
50,0.11271+0.18613i,-13.247
51,0.19821+0.090456i,-13.236
52,0.21488-0.037144i,-13.228
53,0.15666-0.15198i,-13.22
54,0.04362-0.21393i,-13.217
55,-0.084687-0.20142i,-13.211
56,-0.1837-0.11852i,-13.206
57,-0.21868+0.0058767i,-13.201
58,-0.17729+0.12831i,-13.197
59,-0.073879+0.20618i,-13.191
60,0.055514+0.21197i,-13.186
61,0.16558+0.1436i,-13.184
62,0.21786+0.024999i,-13.18
63,0.19395-0.10246i,-13.177
64,0.10217-0.19418i,-13.175
65,-0.025455-0.21797i,-13.173
66,-0.14422-0.16544i,-13.172
67,-0.21252-0.054969i,-13.171
68,-0.20642+0.074795i,-13.169
69,-0.128+0.1784i,-13.169
70,-0.0046577+0.21951i,-13.169
71,0.12023+0.18377i,-13.167
72,0.20311+0.083523i,-13.167
