Frequency (Hz), H(j), Amplitude Response (dB)
20,0.082535-0.049727i,-20.322
21,0.040238-0.089027i,-20.202
22,-0.017568-0.097377i,-20.092
23,-0.070688-0.070876i,-19.991
24,-0.09942-0.018101i,-19.909
25,-0.092787+0.04221i,-19.833
26,-0.052371+0.088391i,-19.765
27,0.0078062+0.10328i,-19.695
28,0.066086+0.080668i,-19.636
29,0.10103+0.028289i,-19.583
30,0.099532-0.035172i,-19.53
31,0.061546-0.086303i,-19.494
32,0.00057472-0.1065i,-19.453
33,-0.06122-0.087693i,-19.417
34,-0.10097-0.036459i,-19.384
35,-0.10392+0.028571i,-19.349
36,-0.068584+0.083639i,-19.318
37,-0.00762+0.10821i,-19.293
38,0.056521+0.092956i,-19.268
39,0.10014+0.043213i,-19.247
40,0.10689-0.022768i,-19.229
41,0.074106-0.080705i,-19.206
42,0.013721-0.10897i,-19.185
43,-0.052067-0.096927i,-19.17
44,-0.098822-0.048835i,-19.154
45,-0.10905+0.017638i,-19.136
46,-0.07869+0.077817i,-19.12
47,-0.018971+0.10916i,-19.11
48,0.04804+0.10001i,-19.098
49,0.097344+0.05352i,-19.087
50,0.11049-0.012914i,-19.075
51,0.082462-0.074902i,-19.062
52,0.02364-0.10899i,-19.053
53,-0.044253-0.10248i,-19.045
54,-0.095735-0.05773i,-19.032
55,-0.11152+0.0087766i,-19.026
56,-0.085651+0.072126i,-19.018
57,-0.027764+0.10862i,-19.007
58,0.040751+0.10456i,-18.998
59,0.094+0.061312i,-18.998
60,0.11227-0.0049137i,-18.986
61,0.088485-0.069399i,-18.981
62,0.031427-0.10796i,-18.981
63,-0.037371-0.10616i,-18.974
64,-0.09232-0.06463i,-18.962
65,-0.11275+0.0012989i,-18.957
66,-0.090876+0.066833i,-18.953
67,-0.034911+0.10732i,-18.95
68,0.0342+0.10767i,-18.941
69,0.090574+0.067578i,-18.938
70,0.11306+0.0020661i,-18.932
71,0.093077-0.064348i,-18.927
72,0.038092-0.10655i,-18.927
73,-0.031221-0.10879i,-18.925
74,-0.088822-0.070206i,-18.922
75,-0.11316-0.0051524i,-18.917
76,-0.09501+0.061912i,-18.908
77,-0.041053+0.10569i,-18.909
78,0.028355+0.10984i,-18.905
79,0.087211+0.072652i,-18.899
80,0.11324+0.0081206i,-18.898
82,0.043874-0.10486i,-18.887
83,-0.025664-0.11084i,-18.879
84,-0.08555-0.075065i,-18.876
85,-0.11327-0.010941i,-18.877
86,-0.098393+0.057242i,-18.875
87,-0.046485+0.10403i,-18.866
88,0.023049+0.11164i,-18.862
