Frequency (Hz), H(j), Amplitude Response (dB)
20,-0.0076799+0.30609i,-10.28
21,0.14213+0.27516i,-10.181
22,0.25984+0.17428i,-10.093
23,0.31455+0.027155i,-10.014
24,0.29063-0.12969i,-9.9445
25,0.19248-0.25632i,-9.8824
26,0.043834-0.31963i,-9.8262
27,-0.11812-0.30224i,-9.7757
28,-0.25188-0.20731i,-9.7297
29,-0.32261-0.058114i,-9.6879
30,-0.31114+0.10758i,-9.6504
31,-0.2194+0.24716i,-9.6168
32,-0.070326+0.32415i,-9.5852
33,0.098129+0.31799i,-9.5566
34,0.24238+0.2295i,-9.5304
35,0.32476+0.080922i,-9.5072
36,0.32338-0.089524i,-9.485
37,0.23798-0.23769i,-9.4643
38,0.09018-0.32478i,-9.4456
39,-0.081805-0.3277i,-9.428
40,-0.23317-0.24521i,-9.412
41,-0.32436-0.0983i,-9.3978
42,-0.33111+0.074757i,-9.3846
43,-0.25133+0.22892i,-9.3715
44,-0.10551+0.32366i,-9.3595
45,0.068398+0.3339i,-9.3491
46,0.22484+0.25668i,-9.339
47,0.32272+0.11196i,-9.3299
48,0.33615-0.062552i,-9.3214
49,0.26135-0.22099i,-9.313
50,0.1191-0.32021i,-9.3284
51,-0.057147-0.33806i,-9.2978
52,-0.2173-0.2655i,-9.2919
53,-0.32055-0.12295i,-9.2861
54,-0.33954+0.052176i,-9.2807
55,-0.26914+0.21383i,-9.2753
56,-0.12773+0.31936i,-9.2699
57,0.047568+0.34084i,-9.2653
58,0.21054+0.27242i,-9.2615
59,0.31812+0.13207i,-9.2576
60,0.34187-0.043309i,-9.2537
61,0.27535-0.20738i,-9.2511
62,0.13608-0.31684i,-9.248
63,-0.039259-0.34272i,-9.2447
64,-0.20436-0.27802i,-9.2424
65,-0.31558-0.13978i,-9.2399
66,-0.34337+0.035495i,-9.2385
67,-0.28042+0.20147i,-9.2363
68,-0.14323+0.31425i,-9.2348
69,0.031934+0.34395i,-9.2328
70,0.19871+0.2826i,-9.2318
71,0.31297+0.14643i,-9.2303
72,0.34437-0.028579i,-9.2296
73,0.2846-0.19607i,-9.2286
74,0.14941-0.31167i,-9.2277
75,-0.025402-0.34472i,-9.2273
76,-0.19351-0.28643i,-9.2267
77,-0.31037-0.15222i,-9.2263
78,-0.34497+0.022356i,-9.2263
79,-0.28812+0.19105i,-9.2259
80,-0.15486+0.30909i,-9.2257
82,0.18865+0.28967i,-9.2263
83,0.30778+0.15734i,-9.227
84,0.34526-0.016718i,-9.2269
85,0.2911-0.18634i,-9.2277
86,0.15971-0.30652i,-9.2278
87,-0.014087-0.34529i,-9.2291
88,-0.18409-0.29243i,-9.2298
90,-0.3453+0.011544i,-9.2312
91,-0.29366+0.18192i,-9.2324
92,-0.16406+0.30398i,-9.233
93,0.0090978+0.34524i,-9.2346
95,0.3027+0.16608i,-9.237
96,0.34513-0.0067409i,-9.2387
97,0.29587-0.17773i,-9.2399
99,-0.0044798-0.345i,-9.243
100,-0.1757-0.29689i,-9.2441
101,-0.30019-0.16985i,-9.2459
103,-0.2978+0.17373i,-9.2494
104,-0.1716+0.29894i,-9.2515
105,0.00015375+0.34462i,-9.2533
107,0.29768+0.17329i,-9.2575
108,0.34435+0.0018949i,-9.26
110,0.17489-0.29647i,-9.2634
111,0.0039028-0.3441i,-9.2657
113,-0.29524-0.17645i,-9.2701
114,-0.3438-0.0058333i,-9.2726
116,-0.17793+0.294i,-9.2777
118,0.16446+0.30154i,-9.2821
119,0.29279+0.17936i,-9.285
