Frequency (Hz), H(j), Amplitude Response (dB)
20,0.19701-0.037201i,-13.958
21,0.1447-0.14238i,-13.85
22,0.040922-0.20107i,-13.757
23,-0.079361-0.19136i,-13.674
24,-0.1745-0.11498i,-13.598
25,-0.21061+0.0028848i,-13.53
26,-0.17369+0.12161i,-13.472
27,-0.075558+0.19948i,-13.42
28,0.050305+0.20857i,-13.369
29,0.16+0.14456i,-13.326
30,0.21463+0.029139i,-13.287
31,0.19427-0.098041i,-13.247
32,0.1052-0.1914i,-13.215
33,-0.021709-0.21808i,-13.185
34,-0.14194-0.16796i,-13.155
35,-0.21273-0.057923i,-13.133
36,-0.20862+0.073205i,-13.108
37,-0.13047+0.17924i,-13.085
38,-0.0055325+0.22213i,-13.065
39,0.12193+0.18626i,-13.049
40,0.20676+0.083967i,-13.028
41,0.21815-0.048568i,-13.015
42,0.15199-0.16439i,-13
43,0.031362-0.22203i,-12.986
44,-0.10082-0.2006i,-12.975
45,-0.19743-0.10758i,-12.963
46,-0.2238+0.024153i,-12.953
47,-0.17029+0.14764i,-12.942
48,-0.055699+0.21862i,-12.933
49,0.079003+0.21156i,-12.924
50,0.18579+0.12876i,-12.916
51,0.22622-0.00031872i,-12.909
52,0.18568-0.12956i,-12.902
53,0.07852-0.21255i,-12.895
54,-0.056975-0.21941i,-12.891
55,-0.17219-0.14765i,-12.886
56,-0.22581-0.022762i,-12.881
57,-0.19841+0.11043i,-12.877
58,-0.099761+0.20409i,-12.873
59,0.034865+0.2246i,-12.868
60,0.15708+0.16439i,-12.865
61,0.22296+0.045034i,-12.862
62,0.20876-0.09057i,-12.858
63,0.11945-0.19375i,-12.856
64,-0.012878-0.22732i,-12.853
65,-0.14061-0.17908i,-12.853
66,-0.21784-0.066408i,-12.851
67,-0.21669+0.070236i,-12.849
68,-0.13753+0.1816i,-12.849
69,-0.0088097+0.22765i,-12.848
70,0.12311+0.19169i,-12.848
71,0.21067+0.086788i,-12.847
72,0.22241-0.049533i,-12.847
73,0.154-0.16796i,-12.846
74,0.030063-0.22589i,-12.846
75,-0.10468-0.20242i,-12.846
76,-0.20173-0.10596i,-12.847
77,-0.22606+0.028707i,-12.846
78,-0.16886+0.15297i,-12.847
79,-0.050763+0.2221i,-12.848
80,0.085621+0.21107i,-12.85
82,0.22756-0.0079281i,-12.853
83,0.18193-0.13679i,-12.856
84,0.070697-0.21638i,-12.855
85,-0.066027-0.21775i,-12.859
86,-0.17887-0.14057i,-12.86
87,-0.22709-0.012743i,-12.862
88,-0.19331+0.11967i,-12.866
90,0.046073+0.22256i,-12.869
91,0.16527+0.15588i,-12.872
92,0.22472+0.032948i,-12.875
93,0.20298-0.10173i,-12.878
95,-0.025981-0.22539i,-12.884
96,-0.15044-0.16971i,-12.887
97,-0.22052-0.05278i,-12.889
99,-0.12499+0.18897i,-12.896
100,0.0059428+0.2264i,-12.899
101,0.13455+0.18203i,-12.904
103,0.21695-0.064043i,-12.91
104,0.14094-0.17677i,-12.915
105,0.014069-0.22559i,-12.917
107,-0.20694-0.090353i,-12.925
108,-0.22122+0.044579i,-12.93
110,-0.033838+0.22298i,-12.936
111,0.10015+0.20195i,-12.94
113,0.22385-0.024977i,-12.947
114,0.16901-0.14883i,-12.949
116,-0.081968-0.20951i,-12.957
118,-0.22469+0.0053735i,-12.966
119,-0.18091+0.13318i,-12.97
121,0.063196+0.2154i,-12.976
122,0.17525+0.1401i,-12.981
124,0.19143-0.11674i,-12.987
126,-0.044232-0.2196i,-12.995
127,-0.16212-0.15441i,-12.999
129,-0.20037+0.099518i,-13.006
131,0.025024+0.22216i,-13.012
133,0.21721+0.052311i,-13.018
135,0.12325-0.18612i,-13.025
136,-0.0058837-0.22305i,-13.029
138,-0.21151-0.070558i,-13.035
140,-0.13836+0.17452i,-13.045
142,0.11679+0.18952i,-13.049
144,0.21777-0.045081i,-13.058
146,0.031929-0.2199i,-13.065
148,-0.19569-0.10489i,-13.072
150,-0.16519+0.14807i,-13.079
152,0.082825+0.20557i,-13.088
